"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0092_depth25",6.13786663841386e-05,0.0842028319600376,0.61420730712671,6.13786663827769e-05,0.000809254802453478,0.0077511015761823,0.0172754973507649,6.13786664109862e-05,0.187087933837474,6.13786699598958e-05,6.13786663827763e-05,0.009267759346772,6.13786660026717e-05
"mix_0093_depth100",0.0471801827594535,0.0770975954331259,0.562934553160521,6.13786663827784e-05,6.13786663827787e-05,0.00133077985351374,6.13786663587536e-05,0.00035668951339475,0.167683881579787,6.13786657927132e-05,0.0233430777953201,0.0317464616586728,6.13786663855364e-05
"mix_0093_depth25",0.0457727540123803,0.0799543871768576,0.54861623814516,0.00384025507682388,8.76838091182551e-05,0.0029436610598345,0.00108852000470674,8.76838091411639e-05,0.199792356214044,0.000485958551786509,0.0299219871267914,0.00344672434114728,8.76838090871519e-05
"mix_0094_depth100",0.00711208903267118,0.0709762625723317,0.50109509074606,8.76838091182534e-05,0.00468182962332051,8.7683809022438e-05,8.76838090704355e-05,0.000655055749633247,0.250535103264034,8.76838084921951e-05,8.7683809118255e-05,0.0403265836771517,0.00485398138837748
"mix_0094_depth25",0.0202098039557277,0.053895499665344,0.528511432604474,8.76838091182547e-05,0.00484751875125465,8.76838091048226e-05,8.76838091178488e-05,0.00205890231827151,0.253321024931502,0.000122959168840665,0.00981883378621334,0.0514693154877403,0.000881655592405501
"mix_0095_depth100",0.0107968206545533,0.165594546002862,0.458625074947351,8.7683809118255e-05,8.7683809118255e-05,0.000858904493518163,8.76838091035038e-05,8.76838091927851e-05,0.260671474596125,8.76838089352942e-05,0.0139813614837222,0.01327020146816,0.00728129789587329
"mix_0095_depth25",0.0138693634489145,0.178536028070916,0.410510363963139,6.13786663827785e-05,6.13786663827785e-05,6.13786663781952e-05,6.13786663733999e-05,6.13786663460562e-05,0.302829121400231,6.13786642180805e-05,0.0078377271620688,0.0202411334010705,6.13786663804664e-05
"mix_0096_depth100",6.13786663740693e-05,0.0233382643060207,0.614611455615234,0.054736732820938,6.13786663826287e-05,6.13786661804721e-05,0.0178645306632533,6.13786664296812e-05,0.163349202560582,6.1378666164959e-05,6.13786663799608e-05,0.00701118387108694,6.13786663869295e-05
"mix_0096_depth25",0.0030566223713322,0.0186096662084801,0.63419470782041,0.0562181526076671,6.13786663827785e-05,6.13786664291583e-05,0.00724046373360423,6.13786663760225e-05,0.149486394588933,6.13786663301612e-05,6.13786663827787e-05,0.0222199721194999,0.00152799602440892
"mix_0097_depth100",8.76838091250088e-05,0.053936752826241,0.49720995513613,8.76838091182557e-05,8.76838091182548e-05,8.76838091049237e-05,0.0193699033147945,8.76838091109037e-05,0.255398732648348,0.000155354193266124,0.00962887034779596,0.0343302623334646,0.0345786233909322
