"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"PPP1R21",1.52368858064353e-05,1.0983775702368e-05,6.70471102559845e-06,1.42153691690227e-05,8.95582733918124e-06,1.67816207689339e-05,1.75978108416038e-05,1.43485173182206e-05,9.94777664656144e-06,3.65891494691992e-05,9.38475118374297e-06,1.89857716531963e-06,1.31071332768005e-05,6.50575590659409e-06,1.32813627053033e-05
"STON1",6.50391275391275e-07,1.37743717755103e-05,2.68775547992584e-06,0,1.40506469620394e-06,0,1.16092663064975e-05,1.26292662098977e-06,0,9.49938254013489e-06,0,0,7.41975144463606e-06,2.4474148446479e-07,0
"RP11-310N16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NRXN1",0,3.2131363295187e-07,2.03143359081077e-07,1.96615074871021e-07,0,0,2.01119188057704e-07,1.50632581526119e-07,0,0,5.71884813585815e-06,0,0,0,0
"ASB3",1.59723996933299e-06,4.44196479807775e-06,3.37249229055092e-06,5.40591716752268e-06,1.03137038252774e-05,1.00480295813991e-05,5.43660293876271e-06,3.71118749873324e-06,0,0,2.99722823014874e-06,2.66440855551351e-06,6.56652677991472e-06,9.81841995344959e-06,1.07754006701446e-05
"GPR75-ASB3",0,0,2.80966750394758e-07,0,0,0,0,2.27601197182297e-07,0,0,0,0,0,0,3.23939099449304e-06
"CHAC2",0,0,8.47404163767857e-07,6.7898496360901e-07,2.74885778354628e-06,8.61461670950107e-06,3.78466542079165e-06,1.55146506956669e-06,6.73627484001347e-06,0,0,3.94184656121589e-06,1.59839936137685e-06,1.54097088094289e-06,0
"ERLEC1",7.47196129921304e-05,0.000106462796336599,9.34561693170412e-05,0.000117266490738448,7.78916007319442e-05,3.56142809891514e-05,7.21370613590053e-05,7.19722495896362e-05,1.65850152904983e-05,7.7938175005629e-05,7.2571134448473e-05,0.000210964439254914,8.54614228274092e-05,9.86620687102915e-05,6.27544826522828e-05
"GPR75",0,0,1.09800700748072e-06,0,1.34164617302137e-06,0,5.68077885750448e-07,6.90862390325596e-07,0,0,0,0,1.47013854585656e-07,0,0
"PSME4",3.3488179031828e-05,1.86699418393432e-05,5.82224506005368e-05,4.82353773390745e-06,3.12370725789057e-05,7.76620613064312e-06,1.56948665463349e-05,2.90213172027048e-05,1.97320892312134e-05,4.29622612811167e-05,3.18957072420054e-05,4.09321382496936e-06,1.04149132923983e-05,1.40889719294854e-05,4.13090052524031e-05
