gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5,magnitude
CCL5,2.6792085530623875,3.1273683114974746,3.0320259534403244,2.3985583965656563,3.551310901790357,2.3947827551206164,3.0129040519982984,2.8162300634065325,19.89619401181459,True,True,2.8162300634065325
CTSW,2.2511120260148885,3.384739580262239,2.1994246256416687,1.8621465648508726,2.2505005842067782,2.389141764323054,1.9468648580190708,2.643383816462828,2.83218419196973,True,True,2.643383816462828
CMC1,2.6380397479250726,2.296507948633425,2.2516302935058623,0.6035299375809675,2.5039655000010637,1.0294142270282292,-1.1916216496496126,2.512987130328687,1.3874961239910935,True,True,2.512987130328687
GZMA,2.361115829508755,2.8860032394794475,2.363555003266239,2.1785735834196256,2.6747717553284,2.1043861704644637,1.5111866626678743,2.5063342908850608,3.491407416302641,True,True,2.5063342908850608
HOPX,2.2171322682818366,2.308540646550915,2.3816940045723367,0.7229263187133386,2.8808825353913865,1.297141739391237,3.7483093021993046,2.2305245720590983,1.7677815769020042,True,True,2.2305245720590983
CRABP2,-0.15579110945808672,-2.5413747119180643,1.1089128766158858,1.8476323068351108,-0.7457505752429447,-0.08457150926670604,-3.2546072684010174,-2.2045154409563033,1.6547029593115004,True,False,2.2045154409563033
GZMK,2.34441180909383,1.8407904281779408,2.6513061102841613,2.383531293182307,2.1243170223595094,2.0247384594184057,1.681479227989113,2.2010243824648468,4.135579607831769,True,True,2.2010243824648468
AGR2,0.04302297166637176,-2.330644657475585,-0.8661430306045229,0.15007977360351224,0.0,0.30940934013440635,0.5015974717222234,-2.1911086062885383,3.0867385360124704,False,False,2.1911086062885383
DHRS2,-0.18383657572635514,-2.315193744620863,0.0,-0.7862933065297746,0.0,0.0,-3.2546072684010174,-2.187927569121412,2.555331264754979,True,False,2.187927569121412
AGR3,0.0,-2.3131123290608646,0.609045963014451,-1.5913516800059353,1.7866621440705428,-0.34907282340591816,-3.956276686539267,-2.185041512642984,2.6220054052114357,False,False,2.185041512642984
TSPAN13,-1.0467557213111869,-2.3080586544561728,0.5408104690946748,-0.9877338472874206,-1.2546628205819876,-0.5440622446540427,1.3327435918341333,-2.1737539140533713,2.398514255880774,True,True,2.1737539140533713
ITM2C,2.262662508957728,1.92373758360042,2.623478110327387,1.8717223715679008,1.5964925026084507,2.5477160537685557,2.8260709378857625,2.1714873369800896,1.7830194258185195,True,True,2.1714873369800896
STC2,-0.16507809480316885,-2.3703506490958515,-0.39828663218588,-0.7543405519215154,0.0,-0.030938382566039504,0.0,-2.065999642110479,1.2452211190088216,True,False,2.065999642110479
MLLT4,0.0773509924564008,-2.3210778069269473,0.5238530107673544,0.0,-1.1279008919863114,0.2729811884412602,5.089915511005905,-1.9850151111942391,1.1479593291912082,False,False,1.9850151111942391
SLC39A6,0.8527970054970351,-2.2188989076737795,0.546688509315907,1.5419906154449925,-0.10185544512058436,0.3808997266198069,0.0,-1.95234484276405,4.957884812727641,False,True,1.95234484276405
CCR7,-1.8099386555094923,-2.1133436808223736,-1.3514963697564393,-1.7684468143997316,-2.3997746177468056,-0.9021628130249829,-1.8660642001427368,-1.8699195103426416,1.089755170850356,True,True,1.8699195103426416
KRT19,0.039845112837257786,-1.9767630860314718,-0.21367914950226993,-0.40464131032832984,-0.4224093678733785,0.2758691536498509,-0.26755651575208494,-1.7978827324904425,4.9704782664678335,False,False,1.7978827324904425
CLEC2B,1.3298516362462918,2.2019483144158056,1.0833425507066439,0.536268589147678,1.4118526702244822,1.158895952090313,-0.37875512090123287,1.7525230541028756,1.6934340422046343,True,True,1.7525230541028756
APOBEC3G,1.7138818826579498,1.65756932461295,1.0680167655509651,1.7375737636155921,2.9946550060482746,1.648258819267447,-4.981703710207932,1.6898900039045066,1.2926155266875283,True,True,1.6898900039045066
H2AFJ,0.08396207810364298,-1.9210368165310576,0.5087261482579563,0.5986198213309547,0.48186560655263366,0.31649136966039026,-4.932751210594355,-1.6649253286045795,4.832226098106477,False,False,1.6649253286045795
COX6C,-0.15582707980192123,-2.0199931506491233,-0.1186262356111645,0.11862958963922485,0.2714077899548998,-0.3472870957068193,-0.3984871889624919,-1.6623814489238242,11.892956106106979,True,False,1.6623814489238242
LYAR,1.0203784988347422,2.210938701081529,1.3049723052549043,1.1028798750631774,0.45820391296420326,1.0137102200682222,4.568474377932588,1.613929741444778,1.3072262264299788,True,True,1.613929741444778
CXCL13,-2.244131826498624,-1.5567360926212686,-0.3191875195979309,-2.793091994476926,-2.149562992323785,-3.4251228107626033,-2.770619010569958,-1.603414369749652,1.1197942987358256,True,True,1.603414369749652
TRBV20-1,-1.62432190090373,0.0,-1.6437471278252438,-1.3400661238543705,-1.1584947195229711,-0.9437897427998349,0.0,-1.5995088020502035,1.2653528857766556,False,False,1.5995088020502035
STARD10,-0.43145884208706503,-1.758475363591803,1.0029547626375845,-0.29463840277589437,-0.06465290708085918,0.4057212608247309,-2.7745206963348816,-1.5972009611730738,1.3144746912463565,True,False,1.5972009611730738
LTB,-2.6422863309297093,-0.2976850687208627,-2.131458348560307,-1.1988359466330407,-1.3531268485954582,-2.3481314276148906,-1.6278801532591407,-1.5766841670899594,7.082894838780438,True,False,1.5766841670899594
IER3,-0.36764149053547956,-1.8288156711685235,-0.1540641648140824,-0.41146731994809005,0.21654801666725995,0.6143704979604233,0.884342932425697,-1.566312555865244,1.9873172804350148,True,False,1.566312555865244
CST3,0.1619292656069164,-1.9288071790507888,-0.3050870084076977,-1.8809650188425506,-0.29599535814971134,0.004067918254632781,1.1656918430768046,-1.5517557441794765,6.076860009102861,False,False,1.5517557441794765
C12orf75,1.4366352013298884,1.9735377518204131,1.0017571048583451,0.487273262341478,1.508693950246494,0.1839563552444012,0.8031772960978144,1.5473314089917787,1.0392071815652324,True,True,1.5473314089917787
