"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"LIPT1",1.2800019828645e-05,7.25486605123674e-06,6.08036370384923e-06,1.58759642663796e-06,5.71366869028206e-06,2.4094912307172e-06,1.65289256198347e-05,1.46937815916304e-05,5.79421498709375e-06,6.20161323580595e-07,6.50204088117849e-06,3.77928834976867e-06,2.67232878667859e-06
"MITD1",5.83860590593404e-05,2.09406202880507e-05,2.66292033489033e-05,0.000155666626968149,3.11794973693283e-05,3.49965592089664e-05,8.08799741184083e-06,3.12664006826539e-05,2.24788412376442e-05,7.25738099939832e-06,2.58894618998739e-05,3.86472109637651e-05,4.16772492866799e-05
"MRPL30",5.89627680022659e-06,5.57582728903697e-06,2.06214206986756e-05,1.58759642663796e-06,5.05809658109204e-06,1.23695690181909e-05,2.44940501778735e-05,3.25788894208513e-05,5.7346832482249e-06,4.16400309854781e-06,8.00025046120005e-06,1.9895891210138e-06,4.66766596234735e-06
"LYG1",0,2.66181860770916e-07,1.28971306538869e-07,0,5.14350216117554e-07,4.89503029809322e-07,0,0,9.8643837457768e-08,0,9.03604224241316e-08,0,0
"TXNDC9",3.13384165318221e-05,2.67263441216533e-05,4.8520086536061e-05,0.000114689421176537,3.71660735868949e-05,2.09293690032075e-05,2.12437499563981e-05,3.69017650044604e-05,2.51643146731152e-05,1.31890363046573e-05,2.32011904010556e-05,2.86492390276993e-05,1.61892596925752e-05
"EIF5B",0.000126774361536826,0.000125119477581979,0.000108260583477492,7.747576824818e-05,0.00014215393363588,9.15080311691748e-05,0.000102213446472408,0.000210477432079122,0.00013358328437535,9.36144253196409e-05,0.000128062161412519,0.000101130340745902,0.00011057616114164
"REV1",4.42497252627897e-05,3.85109877715547e-05,1.878129224444e-05,1.24294405972094e-05,3.56373697069807e-05,2.23183604998492e-05,3.58708757004663e-05,1.48767982388527e-05,3.02097528914128e-05,9.0537465290505e-06,2.55989868134646e-05,2.3500001258819e-05,3.28213708670857e-05
"RP11-527J8.1",0,2.73711898941277e-07,1.00099353613429e-08,0,4.74433320644487e-07,0,0,0,1.87388991974407e-07,0,3.14576772601642e-07,0,0
"AFF3",9.50138111795397e-05,6.0517995516581e-06,0.000123696182814778,0,4.65599804583118e-06,1.76663786802441e-05,3.70756080994902e-05,1.43135136155087e-05,5.93093768098174e-05,1.51871428380518e-05,1.02631779836564e-05,3.69425189052591e-05,3.34376583636978e-06
"AC092667.2",0,2.15008062148497e-07,1.21540142513904e-06,0,1.73595026446942e-08,0,0,0,4.39611058808792e-07,1.61773110947073e-07,1.99183996926386e-07,0,0
"LONRF2",0,6.75896417437003e-06,1.0081704340325e-05,0,7.43558578219118e-07,4.99725058806595e-07,0,0,4.65399752370575e-06,3.21322615296177e-07,1.1612891896591e-06,2.45371062894049e-06,0
"CHST10",0,4.73573329101327e-06,4.85270653794913e-06,0,2.64751264699413e-06,1.93450132187332e-07,0,4.0642971814099e-06,2.65237318981682e-06,1.08607208005412e-06,1.07007423783864e-06,3.42726084402467e-07,1.33163948790472e-06
"PDCL3",3.99501564213873e-05,1.64187420703123e-05,3.64662039098921e-05,0.0001079484949917,3.62625011475858e-05,4.76631239321124e-05,6.72421809047866e-05,1.0059204057908e-05,4.71433839147453e-05,5.82594618292328e-06,4.00183607245308e-05,5.86787579265536e-05,7.2359307342978e-05
"NPAS2",0,9.89791067783048e-06,9.29507819925063e-07,0,4.47648245330926e-06,2.06887705491213e-07,0,0,4.48078778040846e-06,0,7.96366433645051e-07,2.61954376801278e-06,8.59141219619693e-07
"AC016738.4",0,3.39127422392804e-07,4.33551650876392e-08,0,2.4263981146585e-07,1.6301512780386e-07,0,0,1.21053575173285e-07,0,1.19507638091673e-07,0,0
"RPL31",0.00150630646920917,0.000646434750205094,0.00220056021582299,0.00176545364758525,0.000665719164597786,0.00119654813091277,0.00180443805529193,0.00104546923707805,0.000717791189917697,0.000555286913309327,0.00100348096236222,0.00168071780927982,0.00144651594217577
"TBC1D8",4.82095914571098e-06,2.15183871329809e-05,1.54589823708516e-05,0,2.32277300186025e-05,3.26371608124403e-05,6.08494584398199e-06,0,7.54885539945502e-05,1.5736067988565e-06,7.81305391918076e-06,1.84595655520207e-05,1.97715984941951e-06
"RP11-299H21.1",0,6.49761446659864e-07,9.22724377256848e-07,0,1.21605525966862e-06,4.08383672305455e-07,0,0,1.33987534119751e-06,0,7.64812134158896e-07,1.50864429576711e-06,1.97615570526033e-06
"CNOT11",8.35239450595892e-06,8.57131848474934e-06,1.36183769604272e-05,1.51121450472376e-05,1.18448396253835e-05,7.83185215718108e-06,0,0,8.56097157381326e-06,6.19904758812034e-06,6.87350719113403e-06,1.07872471112138e-05,1.50373768990376e-05
"RNF149",6.35087532705734e-05,9.13364613733248e-05,5.11334604478435e-05,4.16537328464415e-05,4.14399763843513e-05,0.000173556458055456,6.04414933228436e-05,0.000219574320043332,6.78396175486054e-05,3.25561137769352e-05,3.71566867714986e-05,0.000140226029564385,0.000136985123219316
"CREG2",0,6.30489460061325e-07,0,0,1.6932871416708e-07,7.01060704846433e-08,0,0,5.12547668302001e-08,0,0,0,0
"RFX8",0,2.57324915430106e-06,7.21707047651668e-08,0,4.70693738544157e-07,0,0,0,3.18421745146327e-07,0,1.14993651102389e-06,0,0
"MAP4K4",6.34546196732464e-05,8.57697167895889e-05,5.98716454491072e-06,8.00832750677805e-06,6.98059024194454e-05,2.17163969366559e-05,1.04624262266208e-05,1.47472721669111e-05,1.51771217954616e-05,3.76565194704115e-06,3.41289549217873e-05,2.68313255339098e-05,1.97815065948052e-05
"IL1R2",0,4.70215072612492e-08,1.65326663941896e-07,0,1.65895280167475e-06,4.12154519785047e-05,0,0,5.48332836271495e-07,7.14196439730748e-07,0,7.70761155307214e-06,0
"IL1R1",3.30384952578657e-06,5.23363199702923e-05,3.97547507235025e-07,3.60282461449777e-05,0.000101995005712128,1.48609129637785e-05,3.42471617664686e-06,0,1.20168121000664e-05,4.85908649173955e-06,1.12034961172044e-05,3.60153854922616e-06,1.04323322058731e-05
"IL1RL2",0,9.8510572198771e-07,2.2882282145973e-07,0,3.38984773260486e-07,2.50565554567772e-06,0,0,1.72245596899707e-06,0,7.16921242121048e-07,5.82738357470356e-07,0
