gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
DVL1,-0.09962231062765059,0.0,0.5309589987997236,0.0,0.35900219308331166,-0.2957984232678253,-2.956812988541467,-0.06384238460530621,0.0022622950077936066,False,False
MXRA8,0.6627502427755668,0.0,0.0,0.0,0.0,0.0,-3.2643585867811757,0.49143355716603637,0.05855880061727918,False,False
AURKAIP1,0.3334512022342562,-1.3070658174054874,-0.25998061868982525,-0.3787273816812743,-0.8119934424521866,-0.26206391309009286,-1.8790415394704834,-0.4724267504505858,1.2665735518758674,False,False
CCNL2,-0.45105740770212366,0.47964717221230374,-0.39451531774165866,-1.8810144600226748,-0.34217992291323757,-0.5394270373698872,-2.0269448630429254,-0.12718191642426097,0.28016078269671185,False,False
MRPL20,0.06273568093640021,0.10503522687209828,0.2063040587322857,0.7801320724871905,-0.14461720379952323,-0.19696972233497287,-6.147709282400335,0.08821619302761644,1.2071425996034475,True,False
RP4-758J18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ANKRD65,0.11489504995032625,0.0,0.0,0.0,0.0,0.0,0.0,0.07270614667481219,0.008537520045030717,False,False
RP4-758J18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RP4-758J18.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
VWA1,0.41934363429339544,0.0,0.0,0.0,0.0,0.0,0.0,0.2800295366424325,0.017284739005505846,False,False
ATAD3C,0.18947885540964227,-0.1810100749020662,0.0,0.0,0.0,0.17255911098154214,0.0,0.05884365387725668,0.015350592633913127,False,False
ATAD3B,-0.4416099015127093,0.9681535071452225,-0.2834210208315445,0.0,0.7314223986020681,-0.5955613577453365,0.0,0.025570800039132147,0.06305576919230063,False,False
ATAD3A,0.30648075401960817,-1.328990848748623,0.3777225731390136,0.4650957218948824,0.0,-0.26797614049158475,0.0,-0.4030451060249602,0.09164244381382416,False,False
TMEM240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
SSU72,-0.06083210015637246,-0.42545777510520516,-0.07776306280501713,-0.395460111970398,-0.14918587056627994,0.1513434863186961,-4.657057067065988,-0.22137635279297005,1.1358191423589639,True,False
RP5-832C2.5,0.3897075897396003,0.6688717883678209,0.24633552916894863,0.0,-0.4672335423532945,0.48760721345998886,0.0,0.45181299816173026,0.1271760711620476,True,False
C1orf233,0.0,0.3666947362651743,-0.1291080440742891,0.0,0.0,0.0,0.0,0.1510185468172712,0.005517655393728854,False,False
RP11-345P4.9,0.22328046299630464,0.15328135037020568,0.0,0.0,-0.40047974064911757,0.1059400694565556,-2.7310793308820673,0.19586065479223877,0.042944586503358764,True,False
