"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0155_depth100",8.22034502438773e-05,0.340098880139697,0.162859842041721,0.180870849376369,8.2203450284116e-05,0.013931155030525,0.0843171516428252,0.00357088752921521,0.00328533933308761,0.0032785288452279,0.166855571180496,8.22034502275284e-05,0.0181768062818305,8.22034502841129e-05,0.0224261747979665
"mix_0155_depth25",8.38401588891058e-05,0.335566162743064,0.148967608853068,0.196505864233859,8.38401588918146e-05,0.00136331316126103,0.102159051235427,0.00325682339869753,0.00500049499194725,0.0133644986257193,0.136706314555849,8.38401583952442e-05,0.0313683743154149,8.3840158891813e-05,0.0254061332506248
"mix_0156_depth100",0.00931879952087516,0.154083032551376,0.340634313989863,0.235320049872696,0.000814873052926784,0.000118305597529909,0.00011830559753679,0.000118305597499055,0.000118305597512847,0.00434269548150906,0.188354285196226,0.00210108975296599,0.005237072667147,0.0521531154628589,0.00716745006147738
"mix_0156_depth25",0.00571295109759759,0.170320170963106,0.318608732355639,0.228491535758923,8.18374262700873e-05,8.18374262700906e-05,8.18374262700809e-05,0.000519800922304162,8.18374262706067e-05,0.0116997173739082,0.212368836332104,0.0011293681712533,8.18374262700843e-05,0.0506578624675444,8.18374262700888e-05
"mix_0157_depth100",0.0216246436308607,0.195491412628025,0.270476923719544,0.251396748683468,8.06566570795075e-05,8.06566570795074e-05,8.06566570795085e-05,0.00436827340817879,8.06566570631812e-05,0.00391127543064901,0.208287240463051,8.0656657099815e-05,8.06566570795076e-05,0.0295855413100016,0.0143740007837402
"mix_0157_depth25",0.017882041092808,0.20448375382665,0.280865850158586,0.214317037584484,8.06200893272518e-05,0.009896750444326,8.06200893272545e-05,0.00542637886238366,8.06200893280323e-05,0.000943930180510956,0.2150162179559,8.06200888239329e-05,8.06200893272505e-05,0.0429978493194097,0.00776709012880839
"mix_0158_depth100",0.0184041511919891,0.312212968435512,0.236523852120403,0.154861332713407,0.00348330547586611,0.000959685989976646,0.000125258699013022,0.000125258698939898,0.000125258698962401,0.00535445152829127,0.216314895665166,0.000634854972124849,0.00849074444233842,0.0350083599587328,0.00737562140927672
"mix_0158_depth25",0.0236546173791337,0.311028985196272,0.196537560884777,0.149732052461921,0.0274113915471681,0.00318096646738447,8.70068107567062e-05,8.70068107500096e-05,8.7006810770497e-05,8.70068107367379e-05,0.24038238085794,8.70068116910671e-05,0.0114088804586079,0.023687917521129,0.0125402131709623
"mix_0159_depth100",6.01275948268867e-05,0.350380409354456,0.222450306370786,0.152653063526354,0.014030378320992,6.01275948270906e-05,6.0127594827091e-05,6.012759481006e-05,0.0590484407776159,6.0127594827089e-05,0.120534180856958,0.00087897428454138,0.0231102769701069,6.01275948270926e-05,0.0565532039692448
"mix_0159_depth25",0.000989808075467875,0.324860531259254,0.251275963435443,0.142641667505159,0.0272979625414136,8.65504220340132e-05,8.65504220340194e-05,0.000643389816456169,0.0613336228923876,8.65504220330364e-05,0.113066513018556,8.65504210094238e-05,0.0413786536983444,8.65504220340135e-05,0.0360791356483743
"mix_0160_depth100",8.13678803302081e-05,0.217542768634749,0.234833176769253,0.29704768158357,8.13678803469355e-05,0.00566315647819684,8.13678803469316e-05,8.1367880306109e-05,0.0102267668323629,8.13678803316083e-05,0.20861999850724,8.13678804614792e-05,0.00239317512543194,8.13678803469313e-05,0.0231037009067261
"mix_0160_depth25",8.13223512801912e-05,0.245936954262304,0.20142935761073,0.279968724464892,8.13223512766925e-05,0.00052274633396772,8.1322351276691e-05,0.0040813517149884,0.00499985696174227,8.13223512724534e-05,0.227697323528586,8.13223530048291e-05,0.000119820249049047,8.13223512766935e-05,0.0347559307643534
"mix_0161_depth100",8.46544415234573e-05,0.321698175047,0.227936017919561,0.217934990016423,8.46544415304568e-05,8.46544415304566e-05,8.46544415304626e-05,8.46544415222819e-05,0.0395891258292806,8.46544415304929e-05,0.134771965427349,0.00108908391774407,0.00579039559665421,8.46544415304563e-05,0.0505976651552908
"mix_0161_depth25",8.61913721901659e-05,0.331152214554942,0.237968201332544,0.19059168768501,8.61913721901725e-05,8.61913721901705e-05,8.61913721901718e-05,8.61913721980036e-05,0.0347722324239642,8.61913721901719e-05,0.12415576734148,8.61913749168568e-05,9.00711304344299e-05,8.61913721901689e-05,0.08058029455137
"mix_0162_depth100",8.87104210246337e-05,0.116073047718883,0.164695002154881,8.87104210174026e-05,0.494828248508229,0.0584786800242386,8.87104210172982e-05,8.87104210127157e-05,8.87104209856775e-05,0.0211771484389221,0.143949479365652,8.8710421084333e-05,8.87104210173956e-05,8.87104210174013e-05,8.87104210174e-05
"mix_0162_depth25",0.000126527178246668,0.10543436902474,0.156534411058907,0.000126527178246665,0.479650089629108,0.0770232220390387,0.000126527178246671,0.00506958729449242,0.000126527178229921,0.0156240781210726,0.159154295760471,0.000126527184700369,0.00057894990853792,0.000126527178246671,0.000171834087715071
"mix_0163_depth100",0.000121462685156532,0.274120008183897,0.182430622911822,0.280290923840517,0.000121462685183085,0.0135513439225144,0.000121462685183084,0.000148902348446323,0.000121462685149574,0.0230182117350096,0.197731793350349,0.000121462685290744,0.00497544124528921,0.000121462685183089,0.0230039763510087
"mix_0163_depth25",0.000121769743120236,0.282769749052148,0.173845957782189,0.227774967443114,0.000121769743113741,0.0158208572306702,0.000121769743113741,0.000219104598701953,0.00649149721743702,0.0106449872384302,0.2473184561753,0.000121769743090181,0.000137447031727449,0.0195328719376756,0.0149570253201682
"mix_0164_depth100",5.51116769635724e-05,0.430734629207451,0.21736953854047,0.183964147465758,5.5111676952505e-05,5.51116769525066e-05,5.51116769525097e-05,5.51116769153446e-05,5.51116769552798e-05,0.0193092319748683,0.12914872531471,5.51116760935657e-05,5.51116769525065e-05,5.51116769525057e-05,0.0189777224050533
"mix_0164_depth25",5.5310679647211e-05,0.434568114807543,0.215719579562003,0.199996996052978,5.53106796423867e-05,5.53106796423913e-05,5.53106796423977e-05,5.53106796708917e-05,5.5310679642392e-05,0.0180076691203903,0.103729314274273,5.53106822997141e-05,9.62537877780894e-05,5.53106796423932e-05,0.0274395869552045
"mix_0165_depth100",0.000124618283522361,0.14327797609628,0.25191027976506,0.218299306654757,0.000124618283520432,0.000124618283520427,0.000124618283520427,0.00479069432509097,0.000124618283508487,0.000124618283509682,0.224746486653704,0.000124618283562653,0.0743526195436667,0.032717411528279,0.0490328974484969
"mix_0165_depth25",0.000125068963251925,0.163011764302891,0.243283520970643,0.172506322251699,0.010180666459271,0.00012506896325181,0.000125068963251812,0.00739035765914414,0.000125068963254416,0.00253145176254745,0.265033106873863,0.00109000999454683,0.0693358564954722,0.0103698402100529,0.0547668271668599
