"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"mix_0096_depth25",0.00753346180233958,0.0245513507142332,0.499799173488241,0.000130224686984225,0.000130224687102691,0.00805453496992488,0.41204034985192,0.000130224686911456,0.000130224686984225,0.0475002304253579
"mix_0097_depth100",0.000126033576943631,0.0425485614807111,0.41118172708474,0.000126033576940878,0.000126033576874802,0.0252534160299106,0.426523044679354,0.000187913248084126,0.0235196235425608,0.0704076132038803
"mix_0097_depth25",0.000128651963040633,0.0439186003473769,0.378906476204435,0.0001286519630397,0.000269284595494822,0.0252311417224933,0.432231649388091,0.00194885711136167,0.0517759415749788,0.0654607451296878
"mix_0098_depth100",0.000119007655495725,0.203040890608084,0.404012416433852,0.00011900765556811,0.000631412876963948,0.0348272537152079,0.351264398655941,0.000119007655406168,0.000119007655568108,0.00574759708791272
"mix_0098_depth25",0.000116717728575881,0.22679587298763,0.414371160535713,0.00011671772857612,0.00503707650760157,0.0328748756110006,0.320337425714495,0.000116717729256087,0.00011671772857612,0.00011671772857612
"mix_0099_depth100",0.000186220215193447,0.132316986838753,0.439634156401234,0.000186220215116484,0.0123876964801563,0.0395342595703397,0.333009028509735,0.00083852607096911,0.00576746990373565,0.0361394357947681
"mix_0099_depth25",0.000185849712256774,0.14648382306695,0.426586184937044,0.000185849712267385,0.00986295777996579,0.0495835946208885,0.331956597386697,0.00108766902996907,0.0119185276009762,0.0221489461529848
"mix_0100_depth100",8.34160456401098e-05,0.0839082729944273,0.428868679800519,8.34160456706547e-05,8.3416045661826e-05,0.0195171620089139,0.427538096097103,8.34160529758156e-05,0.0124004804483531,0.027433644460736
"mix_0100_depth25",0.000119039650552781,0.0957342949033046,0.391554538701535,0.000119039650558538,0.000119039650558534,0.0276386226586068,0.461498102604769,0.000119039649834412,0.00259215253767538,0.0205061299926051
"mix_0101_depth100",8.66873494269376e-05,0.0226534441664047,0.623954270594011,8.66873494309892e-05,0.00106545739438853,0.0106706330248678,0.27862515895791,8.66873496719843e-05,0.0211869285437681,0.0415840452701204
"mix_0101_depth25",0.000131728586824678,0.026459989951205,0.59712877663716,0.000131728586826098,0.00461272307261479,0.00932364357032743,0.299533475446622,0.000131728588689585,0.025837149750736,0.0367090558089939
"mix_0102_depth100",8.23256878404862e-05,0.0916082031520019,0.315887266029358,8.23256878429266e-05,8.23256879118449e-05,0.00925087069492664,0.505867236040848,8.23256875383885e-05,0.0108298621885364,0.066227259143196
