variant,method,depth_fraction,cell_type,n_spots,dominant_matches,mean_weight_on_true_type,mean_normal_epithelial_weight
epithelial_split,NNLS,0.25,B-cells,5,4,0.6066788833822205,0.031444896226995436
epithelial_split,NNLS,0.25,CAFs,5,5,0.9324231222933058,0.0
epithelial_split,NNLS,0.25,Cancer Epithelial,5,5,0.7054621397450049,0.2806737539594023
epithelial_split,NNLS,0.25,Cycling T-cells,5,5,0.7221062041967266,0.0
epithelial_split,NNLS,0.25,Endothelial,5,5,0.5510086758035369,0.0
epithelial_split,NNLS,0.25,Myeloid,5,5,0.9699808965402467,0.02544111769872238
epithelial_split,NNLS,0.25,NK cells,5,4,0.4463036731999156,0.05731464246735642
epithelial_split,NNLS,0.25,NKT cells,5,5,0.7608138171094555,0.023246072494269777
epithelial_split,NNLS,0.25,PVL,5,3,0.5092224869901455,0.036915143065608204
epithelial_split,NNLS,0.25,T cells CD4+,5,5,0.8827190407397605,0.02011998286527652
epithelial_split,NNLS,0.25,T cells CD8+,5,5,0.6400718857731498,0.0
balanced_split,RCTD,1.0,B-cells,5,5,0.9752116937926754,5.320217721477113e-05
balanced_split,RCTD,1.0,CAFs,5,5,0.9968216820706857,3.8135749374191315e-05
balanced_split,RCTD,1.0,Cancer Epithelial,5,5,0.7492522805357714,0.23003290731789003
balanced_split,RCTD,1.0,Cycling T-cells,5,0,0.22744933185660718,4.70452522493706e-05
balanced_split,RCTD,1.0,Endothelial,5,5,0.9898879149514365,3.744080046604396e-05
balanced_split,RCTD,1.0,Myeloid,5,5,0.9966040437543047,3.916888737230278e-05
balanced_split,RCTD,1.0,NK cells,5,5,0.8528197964682208,4.0254454539164416e-05
balanced_split,RCTD,1.0,NKT cells,5,5,0.6158690110849643,4.6339650320030395e-05
balanced_split,RCTD,1.0,PVL,5,5,0.7762094595760438,0.040673479098218016
balanced_split,RCTD,1.0,T cells CD4+,5,0,0.24024288203568456,7.711551641920656e-05
balanced_split,RCTD,1.0,T cells CD8+,5,5,0.9560166075745377,4.336358427879552e-05
balanced_split,RCTD,0.25,B-cells,5,5,0.9621574780407156,4.6453097383777844e-05
balanced_split,RCTD,0.25,CAFs,5,5,0.9906591711994546,3.0312816012644863e-05
balanced_split,RCTD,0.25,Cancer Epithelial,5,5,0.708362672492165,0.2609547695455648
balanced_split,RCTD,0.25,Cycling T-cells,5,0,0.27179838244727883,6.427920529200914e-05
balanced_split,RCTD,0.25,Endothelial,5,5,0.9687362859539098,3.845052519068594e-05
balanced_split,RCTD,0.25,Myeloid,5,5,0.9916624001169536,3.2510618958739364e-05
balanced_split,RCTD,0.25,NK cells,5,5,0.8344369100296889,0.0018427506753496397
balanced_split,RCTD,0.25,NKT cells,5,4,0.5279157131347179,3.499079924128094e-05
balanced_split,RCTD,0.25,PVL,5,5,0.7286507878818378,0.04480799018515299
balanced_split,RCTD,0.25,T cells CD4+,5,2,0.4232345950107693,6.891996936109933e-05
balanced_split,RCTD,0.25,T cells CD8+,5,5,0.8899000216221262,3.882492767567994e-05
balanced_split,NNLS,1.0,B-cells,5,3,0.4598141891604267,0.0068845234120636
balanced_split,NNLS,1.0,CAFs,5,5,0.986750582188637,0.00153119753279818
balanced_split,NNLS,1.0,Cancer Epithelial,5,4,0.6485506239306453,0.3335012299198349
balanced_split,NNLS,1.0,Cycling T-cells,5,5,0.881768595057434,0.0
balanced_split,NNLS,1.0,Endothelial,5,5,0.7056982361185966,0.0
balanced_split,NNLS,1.0,Myeloid,5,5,0.9994556624099799,0.0
balanced_split,NNLS,1.0,NK cells,5,4,0.5793307906913183,0.0
balanced_split,NNLS,1.0,NKT cells,5,5,0.7318630302372104,0.0
balanced_split,NNLS,1.0,PVL,5,4,0.5096839185480324,0.027916731814097522
balanced_split,NNLS,1.0,T cells CD4+,5,5,0.8996774468971074,0.0
balanced_split,NNLS,1.0,T cells CD8+,5,3,0.4660403930807858,0.00256722046309118
balanced_split,NNLS,0.25,B-cells,5,3,0.4344918048304713,0.01198658457976148
balanced_split,NNLS,0.25,CAFs,5,5,0.973705333800555,0.012277067750610441
balanced_split,NNLS,0.25,Cancer Epithelial,5,4,0.6683996817890231,0.30923267360927886
balanced_split,NNLS,0.25,Cycling T-cells,5,5,0.8687406166941865,0.0
balanced_split,NNLS,0.25,Endothelial,5,5,0.6471492548176138,0.0
balanced_split,NNLS,0.25,Myeloid,5,5,0.9905040265098167,0.0
balanced_split,NNLS,0.25,NK cells,5,4,0.5952402803317878,0.0
balanced_split,NNLS,0.25,NKT cells,5,4,0.7105362565655442,0.0
balanced_split,NNLS,0.25,PVL,5,3,0.49189643706445824,0.01743331568540326
balanced_split,NNLS,0.25,T cells CD4+,5,5,0.8342559599774766,0.0
balanced_split,NNLS,0.25,T cells CD8+,5,4,0.6032601029864159,0.00058437530841936
