variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,RCTD,cells,factorial,0.25,T cells CD8+,189,10.239169277600467,14.14537513646639,-10.117207640998942,15.301886371726058,0.11373508934928363,0.06349206349206349
baseline,RCTD,cells,factorial,0.25,Epithelial total,189,18.982023275682746,21.375400663415196,18.657399422964367,18.982023275682746,,
baseline,RCTD,cells,factorial,1.0,B-cells,189,1.1617249554561146,2.9478126046946054,-1.012896768172506,7.611176032700172,0.086816442582105,0.024691358024691357
baseline,RCTD,cells,factorial,1.0,CAFs,189,4.888781119871548,8.021159698826704,0.04505369526002229,7.314981248844235,0.03638086192617186,0.0
baseline,RCTD,cells,factorial,1.0,Cancer Epithelial,189,17.618852674433448,20.156466330246015,-16.98784799822779,17.618852674433448,,
baseline,RCTD,cells,factorial,1.0,Cycling T-cells,189,1.641972853024088,3.4312192975394913,-0.2597924007612821,6.656178388248795,0.8062719304866364,0.15432098765432098
baseline,RCTD,cells,factorial,1.0,Endothelial,189,0.9692689683720211,2.918393392893172,-0.5826553807341119,6.481631139936444,0.05054193977795082,0.018518518518518517
baseline,RCTD,cells,factorial,1.0,Myeloid,189,0.6842920836578642,1.862316596644547,-0.11159033857271752,4.163798435352517,0.10437435837542196,0.024691358024691357
baseline,RCTD,cells,factorial,1.0,NK cells,189,1.4939502196702907,3.1681175346955515,-0.7308753007761168,7.786889321562426,0.44512703602160136,0.13580246913580246
baseline,RCTD,cells,factorial,1.0,NKT cells,189,1.2525701855840672,2.940662774678868,-0.9041847713529145,7.548642349279437,0.2032248249681724,0.06790123456790123
baseline,RCTD,cells,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,36.32379167975756,0.9947089947089947
baseline,RCTD,cells,factorial,1.0,PVL,189,8.234042504498689,8.978948499459745,-7.368968696070562,8.234042504498689,,
baseline,RCTD,cells,factorial,1.0,Plasmablasts,189,0.0224510135470143,0.04283570518145097,0.0224510135470143,,0.022451013547014297,0.0
baseline,RCTD,cells,factorial,1.0,T cells CD4+,189,2.9740084701516447,4.99747127772544,1.5884598958394298,5.300724530883684,2.586222460029638,0.46296296296296297
baseline,RCTD,cells,factorial,1.0,T cells CD8+,189,10.107092231350755,13.881134812247893,-10.020944629736038,15.10076505679119,0.11974658046987896,0.047619047619047616
baseline,RCTD,cells,factorial,1.0,Epithelial total,189,19.68036660352714,21.986798196047918,19.335943681529773,19.68036660352714,,
baseline,RCTD,cells,pure,0.25,B-cells,55,0.783834429260042,1.8209443698064134,0.34623148369062356,2.406816200631801,0.6215362521228659,0.18
baseline,RCTD,cells,pure,0.25,CAFs,55,0.7899270915501101,2.6210100399294207,-0.013609489810333298,4.419451197482439,0.4269746809568773,0.06
baseline,RCTD,cells,pure,0.25,Cancer Epithelial,55,5.701639301872585,15.633428672714086,-3.204765165890645,48.98522457269776,1.373280774790067,0.08
baseline,RCTD,cells,pure,0.25,Cycling T-cells,55,7.323066200144639,22.52624293846027,-6.201972886497945,74.38771497653423,0.6166013225056821,0.12
baseline,RCTD,cells,pure,0.25,Endothelial,55,0.6701621818665238,2.6215410974741955,-0.3049708137246621,5.363231475751522,0.2008552524780239,0.02
baseline,RCTD,cells,pure,0.25,Myeloid,55,0.18787674369338522,0.7349570398600923,-0.09214448222921845,1.54011674257432,0.05265274380529171,0.0
baseline,RCTD,cells,pure,0.25,NK cells,55,4.772721164224877,12.11724821079675,1.271680506647336,19.25572361667648,3.3244209189797176,0.2
baseline,RCTD,cells,pure,0.25,NKT cells,55,4.3349725303878595,15.428040699678393,-4.064558706664251,46.19742180378661,0.1487276030479857,0.04
