"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0120_depth25",0.0285863116437062,0.0182074533264508,0.347769019325685,9.78877241941479e-05,9.78877241941476e-05,0.00288969994423114,9.78877241941474e-05,0.0466665942722334,0.431407212472515,9.78877231792898e-05,0.0601792079374465,0.0574472877722862,0.0064556624096834
"mix_0121_depth100",9.298998702093e-05,0.0497837183186155,0.307630653924158,9.29899870447377e-05,9.29899870447344e-05,9.29899869196212e-05,0.00781317776166556,0.0409176900453056,0.399679696957454,9.29899871252695e-05,0.132228641288415,9.29899870447365e-05,0.0613884817821864
"mix_0121_depth25",6.61466632623751e-05,0.0538183845906201,0.255949409579076,6.6146663273832e-05,6.61466632738302e-05,0.00138463555231795,6.61466632738317e-05,0.0459737511258638,0.435321828364402,6.61466625679277e-05,0.136525685136027,6.61466632738313e-05,0.0706294256727668
"mix_0122_depth100",9.57071023237803e-05,0.0570157967299795,0.420443838422484,9.57071023348252e-05,9.57071023311287e-05,9.57071024054085e-05,9.57071023356696e-05,0.0457940938591629,0.395107952134576,9.57071021927997e-05,0.00234917681068759,0.0533523446609276,0.0253625547682588
"mix_0122_depth25",9.70044897341273e-05,0.0578074370891544,0.397334587514418,0.00116695508038652,9.70044897341266e-05,9.70044897638087e-05,0.00601845411920247,0.047784673028817,0.422119191395487,0.00027340712203401,0.00782269861479164,0.0475369795544113,0.011844603012066
"mix_0123_depth100",9.51043360711415e-05,0.107813217638311,0.352613000523829,0.0134263448958533,9.51043360651859e-05,9.51043360525975e-05,0.0219091277334238,0.023044449611648,0.394304709650924,9.51043307501426e-05,0.00795437559091112,9.51043360651837e-05,0.0784592526800951
"mix_0123_depth25",9.41526997028709e-05,0.119840461730865,0.345419412368817,0.00935239641005422,9.41526997077808e-05,9.4152699703657e-05,0.00758948459467895,0.0398095334728535,0.404480299598167,9.41526999994809e-05,0.0102641852066851,0.00314639145488757,0.0597212243638776
"mix_0124_depth100",0.000142128272982023,0.157249088499654,0.247943559507737,0.049663694739884,0.000142128272982024,0.0422876144220417,0.00810597619592936,0.000142128272970622,0.310921144962305,0.000142128272963065,0.000154261346187533,0.125720879926538,0.0573852673078257
"mix_0124_depth25",9.8393235580997e-05,0.166806309719778,0.255246401824568,0.0345235814033194,9.83932355809954e-05,0.0422125359606774,0.00430423113099941,9.83932355809963e-05,0.313300113026334,0.000591196106153977,0.00567695130894014,0.0806749306638211,0.0963685691486666
"mix_0125_depth100",9.26143188735034e-05,9.26143188781421e-05,0.435592521527758,0.0132663153040922,9.26143188556296e-05,9.26143188684816e-05,9.2614318859269e-05,0.00781724228894892,0.349231104887922,9.26143175746062e-05,0.0512857701665168,0.0159369825159255,0.126314377396927
