spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0043_depth25,43,factorial,caf0_cd83_T cells CD4+,1,0.25,10,4438,87,0,synthetic_index
mix_0044_depth100,44,factorial,caf0_cd83_T cells CD4+,2,1.0,10,22602,88,0,synthetic_index
mix_0044_depth25,44,factorial,caf0_cd83_T cells CD4+,2,0.25,10,5660,89,0,synthetic_index
mix_0045_depth100,45,factorial,caf0_cd83_Myeloid,0,1.0,10,24362,90,0,synthetic_index
mix_0045_depth25,45,factorial,caf0_cd83_Myeloid,0,0.25,10,6094,91,0,synthetic_index
mix_0046_depth100,46,factorial,caf0_cd83_Myeloid,1,1.0,10,24649,92,0,synthetic_index
mix_0046_depth25,46,factorial,caf0_cd83_Myeloid,1,0.25,10,6114,93,0,synthetic_index
mix_0047_depth100,47,factorial,caf0_cd83_Myeloid,2,1.0,10,34563,94,0,synthetic_index
mix_0047_depth25,47,factorial,caf0_cd83_Myeloid,2,0.25,10,8622,95,0,synthetic_index
mix_0048_depth100,48,factorial,caf0_cd83_Endothelial,0,1.0,10,35927,96,0,synthetic_index
mix_0048_depth25,48,factorial,caf0_cd83_Endothelial,0,0.25,10,8938,97,0,synthetic_index
mix_0049_depth100,49,factorial,caf0_cd83_Endothelial,1,1.0,10,26048,98,0,synthetic_index
mix_0049_depth25,49,factorial,caf0_cd83_Endothelial,1,0.25,10,6597,99,0,synthetic_index
mix_0050_depth100,50,factorial,caf0_cd83_Endothelial,2,1.0,10,29199,100,0,synthetic_index
mix_0050_depth25,50,factorial,caf0_cd83_Endothelial,2,0.25,10,7448,101,0,synthetic_index
mix_0051_depth100,51,factorial,caf0_cd83_B-cells,0,1.0,10,40979,102,0,synthetic_index
mix_0051_depth25,51,factorial,caf0_cd83_B-cells,0,0.25,10,10282,103,0,synthetic_index
mix_0052_depth100,52,factorial,caf0_cd83_B-cells,1,1.0,10,30908,104,0,synthetic_index
mix_0052_depth25,52,factorial,caf0_cd83_B-cells,1,0.25,10,7733,105,0,synthetic_index
mix_0053_depth100,53,factorial,caf0_cd83_B-cells,2,1.0,10,25768,106,0,synthetic_index
mix_0053_depth25,53,factorial,caf0_cd83_B-cells,2,0.25,10,6446,107,0,synthetic_index
mix_0054_depth100,54,factorial,caf0_cd83_NK cells,0,1.0,10,36551,108,0,synthetic_index
mix_0054_depth25,54,factorial,caf0_cd83_NK cells,0,0.25,10,9038,109,0,synthetic_index
mix_0055_depth100,55,factorial,caf0_cd83_NK cells,1,1.0,10,29185,110,0,synthetic_index
mix_0055_depth25,55,factorial,caf0_cd83_NK cells,1,0.25,10,7238,111,0,synthetic_index
mix_0056_depth100,56,factorial,caf0_cd83_NK cells,2,1.0,10,46826,112,0,synthetic_index
mix_0056_depth25,56,factorial,caf0_cd83_NK cells,2,0.25,10,11767,113,0,synthetic_index
mix_0057_depth100,57,factorial,caf0_cd83_NKT cells,0,1.0,10,21969,114,0,synthetic_index
mix_0057_depth25,57,factorial,caf0_cd83_NKT cells,0,0.25,10,5554,115,0,synthetic_index
mix_0058_depth100,58,factorial,caf0_cd83_NKT cells,1,1.0,10,50866,116,0,synthetic_index
mix_0058_depth25,58,factorial,caf0_cd83_NKT cells,1,0.25,10,12510,117,0,synthetic_index
