"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0013_depth25",6.13786662453184e-05,6.1378666359153e-05,0.40718500461782,6.13786663827786e-05,6.13786663827763e-05,6.13786663941372e-05,6.13786663782317e-05,6.13786663930624e-05,0.425189404718935,0.000634331546568401,0.074990327813788,6.13786663827789e-05,0.0205059913305821
"mix_0014_depth100",6.13786663827773e-05,6.13786665633119e-05,0.474194251877215,6.13786663827783e-05,6.13786663827812e-05,6.13786664329301e-05,0.0209057250973819,6.13786663920134e-05,0.371901073271539,6.13786664256666e-05,0.0124399391993912,0.0312420889372676,6.13786663758807e-05
"mix_0014_depth25",6.13786663814615e-05,6.13786653447746e-05,0.486082939532416,6.13786663827789e-05,6.13786663827808e-05,6.13786663860328e-05,0.0239963114316572,6.13786663891453e-05,0.353500309764429,0.000823277407720386,0.014651597814069,0.0299077811954825,6.13786663828539e-05
"mix_0015_depth100",6.13786663831949e-05,6.13786664027086e-05,0.561747808484594,0.00104734502250741,6.1378666376171e-05,6.13786663965158e-05,0.00355975190528816,0.0480903287975646,0.320814240882764,0.000911402413100372,0.000903720400609266,6.13786663827778e-05,6.13786663146043e-05
"mix_0015_depth25",6.13786663900059e-05,6.13786663862371e-05,0.567302341618339,6.13786663827768e-05,6.13786663827784e-05,0.000308686663916762,0.00548408885595604,0.0465309645020063,0.382501621406856,6.13786663646149e-05,6.13786663827766e-05,6.13786663827863e-05,6.13786663844259e-05
"mix_0016_depth100",6.13786664094324e-05,0.000639147585102112,0.485414414198957,0.00411932899458352,6.13786663815966e-05,6.13786664483519e-05,6.13786662575152e-05,0.0298859084604188,0.335324431510776,6.13786664798478e-05,0.0105808500115678,6.13786663827791e-05,6.13786663633087e-05
"mix_0016_depth25",6.13786654918836e-05,0.000416405226975892,0.449199579076476,0.0123473752907944,6.13786663827787e-05,6.13786664233123e-05,6.1378666356404e-05,0.0230607614603738,0.35385652887141,6.13786674617842e-05,0.012661640226048,0.00507486327220521,6.13786663958095e-05
"mix_0017_depth100",4.29650664644417e-05,4.29650666921604e-05,0.481981278467998,0.0672405660774093,4.29650664595823e-05,4.29650664283729e-05,0.00482741328744303,4.29650664187058e-05,0.296724269428971,4.29650662151204e-05,4.29650664679451e-05,4.29650664679449e-05,4.29650661484097e-05
"mix_0017_depth25",6.13786663932295e-05,6.13786664399048e-05,0.419078740515156,0.0595619093124101,6.13786663827791e-05,6.1378666362436e-05,0.00959609765937738,6.13786663643051e-05,0.354501804845704,6.13786651449713e-05,6.13786663827784e-05,6.13786663827788e-05,6.13786667265436e-05
"mix_0018_depth100",8.7683809106697e-05,0.000605982945024576,0.413295224829726,0.00090717810354636,8.76838091207721e-05,8.7683809097748e-05,8.76838091725484e-05,0.00213151441395481,0.43903177575734,0.000317994768628029,0.021815834126822,0.0141736450612838,0.0126682083666535
