"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"CID4461_mix006_depth25",0.110428546996794,5.58545864083296e-05,0.000105444140273715,0.00873337034751755,0.0130852551448114,6.98603390915887e-05,5.58545864083306e-05,0.0217785719097845,5.58545864083282e-05,0.811756889323607
"CID4461_mix007_depth100",0.0512685672899266,0.1165829271203,0.0551380423589903,0.0327837790060985,0.0398699887298715,0.000113988951853734,0.000930367639090241,0.0174038894662618,0.000113988951853731,0.61123795488167
"CID4461_mix007_depth25",0.131475467885166,0.110438515406843,0.0442605932251837,7.97922662976127e-05,0.0277619804253062,8.12135851961497e-05,7.9792266297611e-05,0.0174646868295058,7.9792266297613e-05,0.650682571677384
"CID4461_mix008_depth100",0.0121207437935582,0.239123464230972,0.0575242081690918,0.0470226379075808,0.0530815279747275,0.000113988951853723,0.024556637267447,0.0188281981323353,0.00842696941908798,0.48970556431888
"CID4461_mix008_depth25",0.0230543333762535,0.223756191544854,0.0607243815471829,7.97922662976122e-05,0.0651298184146638,7.97922662976108e-05,0.0196593536415991,0.0177840015267971,0.0688791427461915,0.522874415904807
"CID4461_mix009_depth100",0.10480819231761,7.97922663038482e-05,0.0434963715200821,0.0153635927697919,7.97922662976121e-05,8.28673477581488e-05,0.0178720093224269,0.010927896080142,0.00653639844823407,0.68990265693562
"CID4461_mix009_depth25",0.218664023708015,7.97922662951211e-05,0.000120197899164399,0.059377401904367,7.97922662976191e-05,0.00164298988139914,7.97922662975918e-05,0.0174890483882466,7.97922662976147e-05,0.605542390805217
"CID4461_mix010_depth100",0.0260418878089514,0.204836593174377,0.0717388507779407,0.000162841359791045,0.038857180672837,0.000162841359791036,0.0309176387003606,0.0134936593765703,0.113065475953259,0.432701029447498
"CID4461_mix010_depth25",0.113674399070602,0.206959552714887,0.0271782369751613,0.000162841359791052,0.0240986588398894,0.000162841359791045,0.000162841359791047,0.0180088370218558,0.163772812548846,0.402935184262896
"CID4461_mix011_depth100",0.0362801320335082,0.277136677257055,0.0834179378067874,0.000162841359791045,0.0314163806818095,0.000162841359791052,0.0200360838585026,0.0140884592914733,0.122853775961033,0.364868007320092
"CID4461_mix011_depth25",0.0984186258550292,0.279676051966716,0.041803511092032,0.000113988951853737,0.0216735583034519,0.000113988951853732,0.000113988951853724,0.0202708422632608,0.181883202450587,0.332095700891681
"CID4461_mix012_depth100",0.157653187509527,5.58545864089858e-05,0.0422497784291404,0.00904645735241476,0.00172849419137513,6.97984819420948e-05,5.58545864083283e-05,0.0179693968779825,5.58545864083284e-05,0.714510900611395
"CID4461_mix012_depth25",0.096579863712325,5.58545864083276e-05,0.000173550114092157,5.58545864083286e-05,5.58545864083282e-05,9.27510368945236e-05,5.58545864083263e-05,0.0192328541338117,0.0202547022156396,0.831007962423226
"CID4461_mix013_depth100",0.13896735763166,0.119294900433696,0.0618421775463557,0.00531337307402299,0.000113988951853731,0.000133379060497387,0.0153291530466224,0.0209707674964056,0.00426405073704458,0.600525505748447
"CID4461_mix013_depth25",0.0829202516836817,0.130069291839112,0.0375260946307031,7.97922662976115e-05,0.000348953711790443,0.00010429654899544,8.05596298099254e-05,0.0180153708694652,0.0191418629280529,0.703895966645229
"CID4461_mix014_depth100",0.086489399174687,0.215076555166912,0.0532848481942488,0.013031647250324,0.0124488492159295,0.000113988951853731,0.0736617568216323,0.0193205641026391,0.0324574201577811,0.476011964826634
"CID4461_mix014_depth25",0.0505572897593018,0.190042063139006,0.00994610111128535,0.000113988951853731,0.000113988951853732,0.00012179834216413,0.137533870113483,0.0192420047270017,0.0477316233822074,0.565045345886365
"CID4461_mix015_depth100",0.101393536746078,7.97922663257255e-05,0.0620207062314354,0.0076393369935088,0.031546709966368,0.0469749416132844,0.00257911261081063,0.011138562589292,7.97922662976127e-05,0.630373880850446
"CID4461_mix015_depth25",0.245585654961243,7.97922662976138e-05,0.000161376410962354,0.00629821425348706,0.00865025221960104,0.0283187893939049,0.0595836499426581,0.0215703986607379,7.97922662976136e-05,0.571136190854463
"CID4461_mix016_depth100",0.0952213574535217,0.124429946341795,0.0829390621200909,0.000113988951853732,0.0130040123580223,0.0321728842060371,0.000955829351005029,0.00975610056297105,0.0386992974999594,0.519288628908886
"CID4461_mix016_depth25",0.196674021377684,0.156208898305838,0.021605677479004,7.97922662976114e-05,7.97922662976108e-05,0.0124001617866041,0.0394829911738143,0.0176877851689038,0.00208517914013288,0.497453600794998
"CID4461_mix017_depth100",0.0785605109334946,0.227770372429305,0.0712633341479298,0.000113988951853733,0.0102025990462047,0.0329706392215558,0.015422128874643,0.0101015664745078,0.0598263986321358,0.420388009119943
"CID4461_mix017_depth25",0.16589148155441,0.252809930976636,0.00109271065245088,0.00011398895185373,0.000113988951853732,0.0060295176378068,0.0474738932916099,0.0158173159538974,0.0342143280128585,0.420383420660746
"CID4461_mix018_depth100",0.0789527442729567,0.00196243316425113,0.000906189542755546,0.0141892841827171,0.0248065213795057,0.00014844417389398,0.00290663969194525,0.012537875481236,3.90982104858298e-05,0.805082327848924
"CID4461_mix018_depth25",0.113987138352409,7.9792266297612e-05,0.0836186168983372,7.97922662976069e-05,7.97922662976105e-05,0.000103921163436931,0.0591399040712075,0.00701419417196808,0.00473865723879444,0.628288494495756
