donor_id,reference_label,flag,n_cells,median,mad,threshold_transformed,applied
CID4471,Myeloid,review_high_genes,285,7.515889085215125,0.32363649648955306,9.13407156766289,True
CID4471,Myeloid,review_high_mt,285,6.955756108298481,1.9676535261181698,16.79402373888933,True
CID4471,NK cells,review_low_umi,30,7.639855673267563,0.3527440692854231,5.876135326840448,True
CID4471,NK cells,review_high_umi,30,7.639855673267563,0.3527440692854231,9.403576019694679,True
CID4471,NK cells,review_low_genes,30,6.819377143101593,0.2158817698875053,5.739968293664067,True
CID4471,NK cells,review_high_genes,30,6.819377143101593,0.2158817698875053,7.8987859925391195,True
CID4471,NK cells,review_high_mt,30,8.322706453509625,1.4049470952997498,15.347441930008374,True
CID4471,NKT cells,review_low_umi,32,7.753694458291336,0.289785567350596,6.304766621538356,True
CID4471,NKT cells,review_high_umi,32,7.753694458291336,0.289785567350596,9.202622295044316,True
CID4471,NKT cells,review_low_genes,32,7.0186465918195715,0.19863261078225136,6.025483537908315,True
CID4471,NKT cells,review_high_genes,32,7.0186465918195715,0.19863261078225136,8.011809645730828,True
CID4471,NKT cells,review_high_mt,32,6.568117130937142,0.8930762075077836,11.033498168476061,True
CID4471,Normal Epithelial,review_low_umi,1966,8.773539383558166,0.5342049250307603,6.102514758404364,True
CID4471,Normal Epithelial,review_high_umi,1966,8.773539383558166,0.5342049250307603,11.444564008711968,True
CID4471,Normal Epithelial,review_low_genes,1966,7.700068805408551,0.36868116793600203,5.856662965728541,True
CID4471,Normal Epithelial,review_high_genes,1966,7.700068805408551,0.36868116793600203,9.543474645088562,True
CID4471,Normal Epithelial,review_high_mt,1966,8.909645277027057,2.093921229446189,19.379251424258,True
CID4471,PVL,review_low_umi,1285,8.259975659768276,0.2670311124501703,6.924820097517425,True
CID4471,PVL,review_high_umi,1285,8.259975659768276,0.2670311124501703,9.595131222019127,True
CID4471,PVL,review_low_genes,1285,7.310550158534422,0.18045164840884453,6.4082919164901995,True
CID4471,PVL,review_high_genes,1285,7.310550158534422,0.18045164840884453,8.212808400578645,True
CID4471,PVL,review_high_mt,1285,8.093126385809313,1.6016326850296192,16.10128981095741,True
CID4471,Plasmablasts,review_low_umi,51,9.46187699779161,0.3783477926818133,7.570138034382543,True
CID4471,Plasmablasts,review_high_umi,51,9.46187699779161,0.3783477926818133,11.353615961200676,True
CID4471,Plasmablasts,review_low_genes,51,7.487733761436444,0.17285170026681218,6.623475260102383,True
CID4471,Plasmablasts,review_high_genes,51,7.487733761436444,0.17285170026681218,8.351992262770505,True
CID4471,Plasmablasts,review_high_mt,51,3.220064724919094,1.067673670380068,8.558433076819433,True
CID4471,T cells CD4+,review_low_umi,412,7.887583961206938,0.22969161015243822,6.739125910444747,True
CID4471,T cells CD4+,review_high_umi,412,7.887583961206938,0.22969161015243822,9.03604201196913,True
CID4471,T cells CD4+,review_low_genes,412,6.932935458651611,0.13229447974480113,6.271463059927606,True
CID4471,T cells CD4+,review_high_genes,412,6.932935458651611,0.13229447974480113,7.594407857375617,True
CID4471,T cells CD4+,review_high_mt,412,6.93413166115594,1.2650935914892343,13.259599618602111,True
CID4471,T cells CD8+,review_low_umi,159,7.682482446534506,0.220374744746076,6.580608722804126,True
CID4471,T cells CD8+,review_high_umi,159,7.682482446534506,0.220374744746076,8.784356170264886,True
CID4471,T cells CD8+,review_low_genes,159,6.887552571664617,0.17216918532993652,6.026706645014935,True
CID4471,T cells CD8+,review_high_genes,159,6.887552571664617,0.17216918532993652,7.7483984983143,True
CID4471,T cells CD8+,review_high_mt,159,7.329842931937173,1.1286486278489782,12.973086071182063,True
CID4535,B-cells,review_low_umi,56,7.24895635849402,0.8269198195034013,3.1143572609770134,True
CID4535,B-cells,review_high_umi,56,7.24895635849402,0.8269198195034013,11.383555456011027,True
CID4535,B-cells,review_low_genes,56,6.53072460683734,0.5745640394025058,3.657904409824811,True
CID4535,B-cells,review_high_genes,56,6.53072460683734,0.5745640394025058,9.403544803849869,True
CID4535,B-cells,review_high_mt,56,4.321224769624745,1.6553481754232104,12.597965646740798,True
CID4535,CAFs,review_low_umi,102,8.404692553508076,0.7331767341637541,4.738808882689305,True
CID4535,CAFs,review_high_umi,102,8.404692553508076,0.7331767341637541,12.070576224326846,True
CID4535,CAFs,review_low_genes,102,7.359112372104185,0.47424333583732103,4.98789569291758,True
CID4535,CAFs,review_high_genes,102,7.359112372104185,0.47424333583732103,9.730329051290791,True
CID4535,CAFs,review_high_mt,102,3.926972574877312,1.5587089805098084,11.720517477426355,True
CID4535,Cancer Epithelial,review_low_umi,2223,9.904936502301233,0.4832277515058241,7.488797744772112,True
CID4535,Cancer Epithelial,review_high_umi,2223,9.904936502301233,0.4832277515058241,12.321075259830353,True
CID4535,Cancer Epithelial,review_low_genes,2223,8.250097752572845,0.2620828970198481,6.939683267473605,True
CID4535,Cancer Epithelial,review_high_genes,2223,8.250097752572845,0.2620828970198481,9.560512237672086,True
CID4535,Cancer Epithelial,review_high_mt,2223,8.703198611455493,2.3979918647349834,20.693157935130408,True
CID4535,Cycling T-cells,review_low_umi,19,8.212568398234145,1.5846693544592725,0.2892216259377829,False
CID4535,Cycling T-cells,review_high_umi,19,8.212568398234145,1.5846693544592725,16.13591517053051,False
