seed,cell_type,top_fraction,n_top,n_overlap,retention,jaccard
1003,Plasmablasts,0.2,221,218,0.9864253393665159,0.9732142857142857
1004,Plasmablasts,0.2,221,218,0.9864253393665159,0.9732142857142857
1005,Plasmablasts,0.2,221,220,0.995475113122172,0.990990990990991
1006,Plasmablasts,0.2,221,219,0.9909502262443439,0.9820627802690582
1007,Plasmablasts,0.2,221,217,0.9819004524886877,0.9644444444444444
1008,Plasmablasts,0.2,221,217,0.9819004524886877,0.9644444444444444
1009,Plasmablasts,0.2,221,217,0.9819004524886877,0.9644444444444444
1010,Plasmablasts,0.2,221,217,0.9819004524886877,0.9644444444444444
1001,PVL,0.05,56,51,0.9107142857142857,0.8360655737704918
1002,PVL,0.05,56,51,0.9107142857142857,0.8360655737704918
1003,PVL,0.05,56,53,0.9464285714285714,0.8983050847457628
1004,PVL,0.05,56,51,0.9107142857142857,0.8360655737704918
1005,PVL,0.05,56,51,0.9107142857142857,0.8360655737704918
1006,PVL,0.05,56,52,0.9285714285714286,0.8666666666666667
1007,PVL,0.05,56,51,0.9107142857142857,0.8360655737704918
1008,PVL,0.05,56,50,0.8928571428571429,0.8064516129032258
1009,PVL,0.05,56,53,0.9464285714285714,0.8983050847457628
1010,PVL,0.05,56,53,0.9464285714285714,0.8983050847457628
1001,PVL,0.1,111,100,0.9009009009009009,0.819672131147541
1002,PVL,0.1,111,104,0.9369369369369369,0.8813559322033898
1003,PVL,0.1,111,104,0.9369369369369369,0.8813559322033898
1004,PVL,0.1,111,102,0.918918918918919,0.85
1005,PVL,0.1,111,103,0.9279279279279279,0.865546218487395
1006,PVL,0.1,111,102,0.918918918918919,0.85
1007,PVL,0.1,111,99,0.8918918918918919,0.8048780487804879
1008,PVL,0.1,111,100,0.9009009009009009,0.819672131147541
1009,PVL,0.1,111,101,0.9099099099099099,0.8347107438016529
1010,PVL,0.1,111,100,0.9009009009009009,0.819672131147541
1001,PVL,0.2,221,202,0.9140271493212669,0.8416666666666667
1002,PVL,0.2,221,205,0.9276018099547512,0.8649789029535865
1003,PVL,0.2,221,204,0.9230769230769231,0.8571428571428571
1004,PVL,0.2,221,201,0.9095022624434389,0.8340248962655602
1005,PVL,0.2,221,206,0.9321266968325792,0.8728813559322034
1006,PVL,0.2,221,199,0.9004524886877828,0.8189300411522634
1007,PVL,0.2,221,196,0.8868778280542986,0.7967479674796748
1008,PVL,0.2,221,201,0.9095022624434389,0.8340248962655602
1009,PVL,0.2,221,205,0.9276018099547512,0.8649789029535865
1010,PVL,0.2,221,198,0.8959276018099548,0.8114754098360656
1001,T cells CD4+,0.05,56,42,0.75,0.6
1002,T cells CD4+,0.05,56,38,0.6785714285714286,0.5135135135135135
1003,T cells CD4+,0.05,56,34,0.6071428571428571,0.4358974358974359
1004,T cells CD4+,0.05,56,38,0.6785714285714286,0.5135135135135135
1005,T cells CD4+,0.05,56,41,0.7321428571428571,0.5774647887323944
1006,T cells CD4+,0.05,56,31,0.5535714285714286,0.38271604938271603
1007,T cells CD4+,0.05,56,32,0.5714285714285714,0.4
1008,T cells CD4+,0.05,56,38,0.6785714285714286,0.5135135135135135
1009,T cells CD4+,0.05,56,37,0.6607142857142857,0.49333333333333335
1010,T cells CD4+,0.05,56,35,0.625,0.45454545454545453
1001,T cells CD4+,0.1,111,83,0.7477477477477478,0.5971223021582733
1002,T cells CD4+,0.1,111,81,0.7297297297297297,0.574468085106383
1003,T cells CD4+,0.1,111,75,0.6756756756756757,0.5102040816326531
1004,T cells CD4+,0.1,111,87,0.7837837837837838,0.6444444444444445
1005,T cells CD4+,0.1,111,81,0.7297297297297297,0.574468085106383
1006,T cells CD4+,0.1,111,63,0.5675675675675675,0.39622641509433965
1007,T cells CD4+,0.1,111,75,0.6756756756756757,0.5102040816326531
1008,T cells CD4+,0.1,111,80,0.7207207207207207,0.5633802816901409
1009,T cells CD4+,0.1,111,75,0.6756756756756757,0.5102040816326531
1010,T cells CD4+,0.1,111,81,0.7297297297297297,0.574468085106383
1001,T cells CD4+,0.2,221,190,0.8597285067873304,0.753968253968254
1002,T cells CD4+,0.2,221,180,0.8144796380090498,0.6870229007633588
1003,T cells CD4+,0.2,221,167,0.755656108597285,0.6072727272727273
1004,T cells CD4+,0.2,221,183,0.8280542986425339,0.7065637065637066
1005,T cells CD4+,0.2,221,183,0.8280542986425339,0.7065637065637066
1006,T cells CD4+,0.2,221,138,0.6244343891402715,0.45394736842105265
1007,T cells CD4+,0.2,221,165,0.746606334841629,0.5956678700361011
1008,T cells CD4+,0.2,221,181,0.8190045248868778,0.6934865900383141
1009,T cells CD4+,0.2,221,157,0.7104072398190046,0.5508771929824562
1010,T cells CD4+,0.2,221,161,0.7285067873303167,0.5729537366548043
1001,T cells CD8+,0.05,56,44,0.7857142857142857,0.6470588235294118
1002,T cells CD8+,0.05,56,39,0.6964285714285714,0.5342465753424658
1003,T cells CD8+,0.05,56,41,0.7321428571428571,0.5774647887323944
1004,T cells CD8+,0.05,56,42,0.75,0.6
1005,T cells CD8+,0.05,56,41,0.7321428571428571,0.5774647887323944
1006,T cells CD8+,0.05,56,41,0.7321428571428571,0.5774647887323944
1007,T cells CD8+,0.05,56,41,0.7321428571428571,0.5774647887323944
1008,T cells CD8+,0.05,56,34,0.6071428571428571,0.4358974358974359
1009,T cells CD8+,0.05,56,40,0.7142857142857143,0.5555555555555556
1010,T cells CD8+,0.05,56,40,0.7142857142857143,0.5555555555555556
1001,T cells CD8+,0.1,111,94,0.8468468468468469,0.734375
1002,T cells CD8+,0.1,111,89,0.8018018018018018,0.6691729323308271
1003,T cells CD8+,0.1,111,89,0.8018018018018018,0.6691729323308271
1004,T cells CD8+,0.1,111,91,0.8198198198198198,0.6946564885496184
1005,T cells CD8+,0.1,111,88,0.7927927927927928,0.6567164179104478
1006,T cells CD8+,0.1,111,86,0.7747747747747747,0.6323529411764706
1007,T cells CD8+,0.1,111,91,0.8198198198198198,0.6946564885496184
1008,T cells CD8+,0.1,111,85,0.7657657657657657,0.6204379562043796
1009,T cells CD8+,0.1,111,89,0.8018018018018018,0.6691729323308271
1010,T cells CD8+,0.1,111,89,0.8018018018018018,0.6691729323308271
