run,pathology,CAFs,T cells CD8+,PVL,Cancer Epithelial
1005,Invasive cancer + lymphocytes,0.020958354778411997,0.0006354239399975618,0.002115956178430268,0.8592098204042413
1005,Lymphocytes,0.0671916589610396,0.018640696382203885,0.001688055141077871,0.4006111857354536
1005,Missing,0.005602039045321465,8.699224034145261e-05,0.006285405004287871,0.873528271845441
1005,Stroma,0.13619882812801157,0.007404463103726975,0.00020552676306683992,0.5076194817972023
1005,Uncertain,0.0372564223743387,0.00028077343643972193,0.003941843397187707,0.8000011580986459
1006,Adipose tissue,0.0350754155029926,0.029690107472135033,0.00014264488214301612,0.733040774313364
1006,Invasive cancer,0.02362421765358968,0.0063123117870696275,0.00013284993582550508,0.8696863406846489
1006,Invasive cancer + adipose tissue + lymphocytes,0.012649463673503144,9.13596224992295e-05,0.006269591606052494,0.8872262984475406
1006,Invasive cancer + lymphocytes,0.019289552630181825,0.00716603277385592,0.0013843437197655882,0.8647228508242351
1006,Lymphocytes,0.06603175418867296,0.07267776235016446,0.00031898757872026535,0.47490691092427983
1006,Missing,0.00608274465514773,0.01289297007683272,0.005246691137465111,0.88897919470397
1006,Stroma,0.12939697480477755,0.028699043204520748,0.00025125944137579446,0.54199181997617
1006,Uncertain,0.03820894685093063,0.008372734405061878,0.0020088579703784436,0.8086830167534721
1007,Adipose tissue,0.042736834371663396,0.01905073798799469,0.0001369604072787404,0.716546454139219
1007,Invasive cancer,0.02758163076300288,0.00012887075422674899,0.0001337542223237255,0.8639754040328468
1007,Invasive cancer + adipose tissue + lymphocytes,0.01401934534113969,9.420225201157531e-05,0.003220795801922208,0.889201827223937
1007,Invasive cancer + lymphocytes,0.022184841820376704,0.0001316945048126672,0.0014200596628515865,0.8601476560857427
1007,Lymphocytes,0.0703379932210841,0.048547630476472176,0.0002749567896384148,0.4425725541040089
1007,Missing,0.007189936899922759,8.805796912040234e-05,0.004283091992454821,0.8773289776913898
1007,Stroma,0.1324712048769563,0.01621299032200136,0.00021668748955298316,0.5184072415514834
1007,Uncertain,0.04285253064944713,0.001103043515086213,0.0006008743743421279,0.7982744148259128
1008,Adipose tissue,0.039147103943999235,0.009325558426403034,0.00014265091716378798,0.6652467379587792
1008,Invasive cancer,0.026793811326068135,0.00012918100981249242,0.00014493921306899863,0.8585494716799826
1008,Invasive cancer + adipose tissue + lymphocytes,0.014802601349794917,9.204378254710643e-05,0.0024987626335643775,0.8937653827711582
1008,Invasive cancer + lymphocytes,0.02220901121394192,0.00013134606279932868,0.002452562993587124,0.8549462099103431
1008,Lymphocytes,0.06922860700267311,0.009288064822880188,0.0008868822356790904,0.3977548062702506
1008,Missing,0.005822542151280547,0.00012940939756336857,0.005892675963302722,0.8764406723203445
1008,Stroma,0.13917408763756267,0.0049653970628676485,0.00020213920008196545,0.494283791345175
1008,Uncertain,0.04087600245529574,0.00013617277916835348,0.003471593248471187,0.7887650299479828
1009,Adipose tissue,0.03499514559336847,0.03268323866653368,0.0001431918549535867,0.7289443933479905
1009,Invasive cancer,0.024232978951228355,0.00015128978027620338,0.00013402336011200154,0.858760961316323
1009,Invasive cancer + adipose tissue + lymphocytes,0.013758604489626881,9.222371567602115e-05,0.0014631787197445102,0.8749849844654666
1009,Invasive cancer + lymphocytes,0.021857806281653378,0.0002364642061436001,0.0020609135441114162,0.8617948571684209
1009,Lymphocytes,0.062024810746397374,0.06045976634029444,0.002855234812390788,0.43944290462173546
1009,Missing,0.0058981567325967306,8.969018546497677e-05,0.006269368554216735,0.8741462489626821
1009,Stroma,0.1318187743272833,0.01764946840933126,0.00021238911964851167,0.5133097747162604
1009,Uncertain,0.04012805954370804,0.001319383852366597,0.00029300759388626224,0.7943974535941616
1010,Adipose tissue,0.036390066372285375,0.030044829711563394,0.00017545020885221093,0.7203479755257487
1010,Invasive cancer,0.024087436969377523,0.002617951946634409,0.00013927965884984162,0.8657290289096242
1010,Invasive cancer + adipose tissue + lymphocytes,0.016954940104586886,0.012931309911466725,0.00478323046374967,0.8831888237292714
1010,Invasive cancer + lymphocytes,0.02079323068287083,0.0035122529485604077,0.0025921512918457546,0.8625588385355267
1010,Lymphocytes,0.05904292621403734,0.051147767733625435,0.0019487978520370823,0.44755642860338296
1010,Missing,0.005588473991899416,0.007642040749698419,0.005414493016689762,0.8887932833077788
1010,Stroma,0.13262012322867717,0.02324067121758365,0.00021017145299817003,0.5115798820758861
1010,Uncertain,0.04044545776313053,0.005956638189573109,0.0016254978196302585,0.7968551281622914
