seed,cell_type,spearman,pearson,mae_pp,bias_pp,p95_abs_error_pp,raw_weight_mae
1004,Cycling T-cells,0.7649660494380804,0.7738150625715556,1.3118040044689838,-1.0322790301935263,3.4402966589410444,0.012515574655646965
1004,Endothelial,0.982547827235368,0.9922833983184098,0.30679925710743045,0.2665791198780153,0.9198843862288505,0.002860151950957539
1004,Myeloid,0.9970954785782556,0.9986181786721987,0.19584176087138364,0.046427096470496164,0.6276468556454375,0.0016633604045980814
1004,NK cells,0.7453856099426166,0.7638244372214313,0.2052542801930141,0.08025196001637162,1.001706633720493,0.0019615040238242774
1004,NKT cells,0.8510711303729438,0.9215057311057938,0.114914113534474,0.05343572377642387,0.4876337087637227,0.0010904611320871548
1004,Normal Epithelial,0.9473612162398312,0.980998743384657,0.2730599614069106,0.14068563346747337,0.8729947500230512,0.0025919013490501752
1004,Plasmablasts,0.9990595365513806,0.999468446097908,0.07211060719724952,-0.015320070978688236,0.3006349564220292,0.000592761961836384
1004,PVL,0.947867534795648,0.9908479654936898,0.1360052002468592,-0.02108596652422146,0.5924652027837424,0.0013114122238895864
1004,T cells CD4+,0.8731543344295037,0.9044268363478707,1.21066960050984,0.418324577485094,4.674960045627328,0.01153908660604947
1004,T cells CD8+,0.8678003380577075,0.9288086308962193,0.521426757627323,0.13177888759601777,2.2367931605566613,0.004973018083620412
1005,B-cells,0.853959968885431,0.9462428792664781,0.7137335322454417,0.3524002003246805,2.7541010612955614,0.006919472574405481
1005,CAFs,0.9946678018857251,0.9983305984459404,0.37677389867318734,-0.2777709365310805,1.186181993908215,0.004037883060261501
1005,Cancer Epithelial,0.9947638451338985,0.9978266108243274,1.2748335884886675,0.6787142834146505,3.7028704153363887,0.016924817639747403
1005,Cycling T-cells,0.6962899621252362,0.6985449363212197,1.9170315724959006,-1.7871714838410113,4.269732395426819,0.018484851395197587
1005,Endothelial,0.9871134637547322,0.9932631696364458,0.19616780545760082,0.01732410775014332,0.6038902851867328,0.0018839488731486095
1005,Myeloid,0.9957845254528531,0.9979952817093638,0.28135219034796105,-0.19995675627768728,0.9567058638795074,0.0027528402814390343
1005,NK cells,0.7762979153060224,0.7846964320954308,0.17329699593501324,0.03459279455544985,0.8866064284590927,0.001646293710148191
1005,NKT cells,0.718132578338295,0.7270058812580993,0.5323424670426625,0.5203676703965687,1.8850760911366875,0.005022973170843368
1005,Normal Epithelial,0.8210649097994427,0.9224499255931161,0.5483900476502901,-0.21691801428900045,1.967699054453074,0.005349322279719628
1005,Plasmablasts,0.9988077222914188,0.9987763622261938,0.20255750981690146,0.18555646513421784,0.7948237027917889,0.0017792909952380534
1005,PVL,0.9399071716137228,0.9901364596500978,0.1394848622994108,-0.042784312998414877,0.6052659872685316,0.001342976550526616
1005,T cells CD4+,0.8486769356604973,0.8990123400812967,1.5474081914320676,0.9540534415281127,5.341941159294847,0.014703052481300296
1005,T cells CD8+,0.8476590798792307,0.9147949871713061,0.5456484011330783,-0.2184074591666278,2.7329416678975353,0.005227637153788774
1006,B-cells,0.7975189359584547,0.918522301466651,1.2131817819587523,0.8735590301900951,3.1807235211389,0.011763971488038965
1006,CAFs,0.9955910401378418,0.9981466907739572,0.80357950426003,-0.7912891984432501,2.648671332493975,0.008394052828230279
1006,Cancer Epithelial,0.9949504618905955,0.9973349794107434,2.5843122361516557,2.450953693085631,8.217522344705127,0.027852129267731583
1006,Cycling T-cells,0.6456593798271995,0.6675820056295574,1.983163288812493,-1.8446546811021387,4.54039834322514,0.01910869779424403
1006,Endothelial,0.9871073394396821,0.9935692586384548,0.22440775149353376,0.15401138887003285,0.761161941553483,0.0019667776658626904
1006,Myeloid,0.9945792010701896,0.9970639967369028,0.3002846376118211,0.12413927514557897,1.1079627290761844,0.002478097411597337
1006,NK cells,0.7652207510032345,0.8300071368852151,0.18212902039188672,0.06221629348372123,0.9636815345525426,0.001737133670077795
1006,NKT cells,0.7819805533628901,0.8666580047735984,0.19747987275521234,0.13970406569578986,0.7713992777917426,0.0018732244242129334
1006,Normal Epithelial,0.8858880407688929,0.9548575035105774,0.4279504624073859,-0.2501570419725707,1.4765418898371396,0.00420054553027246
1006,Plasmablasts,0.9988892572793415,0.9995501861622393,0.27629125179222763,-0.2740252758662494,1.212176202483635,0.0029491251200045063
1006,PVL,0.9491838231589056,0.9918465605630112,0.13498269132539018,-0.012871140925004599,0.5399637884350178,0.0012616895631252399
1006,T cells CD4+,0.7448677959667495,0.720490065198283,2.1332342796085384,-1.943632619596573,10.577435479750292,0.020236573160040395
1006,T cells CD8+,0.8518154633045906,0.888237280733349,1.365039477985077,1.3120462114349394,5.431355558473085,0.01266820275891585
1007,B-cells,0.8865306993105633,0.9609528982271216,0.5448243776568518,0.09358259608641595,2.170119642882805,0.005271493158557595
1007,CAFs,0.9945985065611165,0.9980424381274333,0.4333567073482519,-0.2633054749764916,1.8080666734349173,0.004267370042744116
1007,Cancer Epithelial,0.9965422368296752,0.9981064423696655,1.6109741689923216,1.321314230659624,5.674075831411882,0.01885504317093467
1007,Cycling T-cells,0.8092482815299746,0.8212680986387986,0.9017493588357732,-0.34721803158331777,2.5458945287636805,0.00857773395427364
1007,Endothelial,0.9895099629312607,0.9946168037909806,0.16416248371987685,0.001683044635941192,0.5142521133492604,0.0015372350070547885
1007,Myeloid,0.9969008544813833,0.9983672208863836,0.32467768718158707,0.2949051319665786,1.0010159308746274,0.0029236339810669323
