"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0156_depth100",0.00965830727234155,0.195258035753603,0.385099900142384,0.173607591456599,0.0203189468777757,0.000120407857288997,0.000120407857289003,0.000120407857343208,0.00312298418104379,0.00585953758188216,0.150144648296933,0.000382356140383506,0.000120407857288997,0.055945653010569,0.000120407857274896
"mix_0156_depth25",0.0068935773724523,0.214827633572544,0.378047249498064,0.169873615816434,0.00663322170131838,8.31965027403046e-05,8.3196502740305e-05,0.00357038913642162,8.31965027411176e-05,0.0114009709366241,0.163682868359558,8.31965027727563e-05,8.31965027403072e-05,0.0445712945901084,8.31965027401001e-05
"mix_0157_depth100",0.0152765068666775,0.210290559461202,0.302688791356434,0.187203909550675,8.05326359793715e-05,8.05326359793788e-05,8.05326359793783e-05,0.00739462732321074,8.05326359428097e-05,0.00266663643701095,0.227861783029394,8.05326361706283e-05,8.05326359793918e-05,0.029983197400979,0.0161507927583852
"mix_0157_depth25",0.0110736110154825,0.224197022082928,0.309733645754223,0.151983054019359,5.6353726890726e-05,0.0103530952958453,5.63537268907149e-05,0.00794569213277831,5.63537268948672e-05,5.63537268732632e-05,0.225745745476929,5.63537279587309e-05,5.63537268907179e-05,0.0482637074266525,0.0103663044334035
"mix_0158_depth100",0.0176405877710941,0.364747612015263,0.29944361717664,0.0902862662092672,8.80726089698855e-05,8.80726089698862e-05,8.80726089698852e-05,8.80726089194777e-05,8.80726089551557e-05,0.00443174398257655,0.175836952689238,8.80726091105563e-05,9.24851284447037e-05,0.0368844242985026,0.0101078750750787
"mix_0158_depth25",0.0251867656875773,0.379270502041579,0.26089180248782,0.090916048065666,0.010206180678186,0.011355616853999,6.2165867303033e-05,0.000142634748888103,6.21658673132746e-05,6.21658673013788e-05,0.190865752047642,6.21658733982472e-05,7.03724953759007e-05,0.0169107897683822,0.013934871649568
"mix_0159_depth100",6.04075147059103e-05,0.403511827413171,0.255464881466839,0.100766779936366,0.0223753872319936,6.04075147059084e-05,6.04075147059111e-05,6.0407514670217e-05,0.0591394362815277,6.04075147059102e-05,0.0922971360395937,0.000475402281393857,0.000168026166315729,0.0179921962271468,0.0475068893821588
"mix_0159_depth25",6.07244603045805e-05,0.386325640402087,0.28311287503715,0.113109511112172,0.0397614470659074,6.07244603045751e-05,6.07244603045807e-05,0.00115789615787206,0.0646059778837218,6.07244603049871e-05,0.0694016183014056,6.0724461641865e-05,0.010732451339033,6.07244603045806e-05,0.0314282359374862
"mix_0160_depth100",8.24061072296522e-05,0.2631392307459,0.286856116106785,0.227281621146855,8.24061072411826e-05,0.00994828103549697,8.2406107241185e-05,8.24061072998402e-05,0.0103209442328605,8.24061072581531e-05,0.178902808147208,8.24061103052159e-05,8.24061072411849e-05,8.24061072411838e-05,0.0228917497238371
"mix_0160_depth25",8.19969103287586e-05,0.291726906510524,0.241967404324073,0.200562616120231,0.0103297233751809,0.00594036236253819,8.19969103203116e-05,0.00387608777082236,0.00505399193390185,8.19969102998755e-05,0.203525163946599,8.19969121795562e-05,9.60670290782552e-05,8.1996910320312e-05,0.0365116920736033
