"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0011_depth25",0.0217115165234213,7.59926345683912e-05,0.374500020812108,0.211070597501774,0.00245496056529575,0.00826817386774589,7.59926345691534e-05,0.00180878614465668,7.59926345773472e-05,7.59926342114782e-05,0.234073174398413,7.59926345739205e-05,0.0555400004233606,0.00354240944940793,7.59926345690624e-05
"mix_0012_depth100",7.59926345548792e-05,7.5992634657516e-05,0.33079490400522,0.332503382206365,7.59926345691558e-05,7.59926345691542e-05,7.59926345735468e-05,7.59926345377746e-05,0.00602168443408016,0.00298319736887506,0.195616574387433,0.000425005676343221,0.00449867313963057,0.00715496108924514,7.59926344372121e-05
"mix_0012_depth25",7.59926345780318e-05,7.59926345755507e-05,0.341043720806978,0.295504918782263,7.59926345691513e-05,0.00243145135389363,7.59926345691567e-05,7.59926345487836e-05,7.59926345575661e-05,0.00403203927481628,0.208184020857576,7.59926329229987e-05,0.00467432751095051,0.0309797455039223,7.59926344162708e-05
"mix_0013_depth100",7.59926344370452e-05,7.59926346403567e-05,0.325535401413152,0.196842291821627,7.59926345691543e-05,0.000609599089476079,7.59926345691493e-05,7.59926345163719e-05,0.00612707901080197,7.59926346198167e-05,0.274919808913858,7.59926347406677e-05,0.0898002107330586,7.59926345691558e-05,0.00996232679420795
"mix_0013_depth25",7.59926349419918e-05,7.59926345579719e-05,0.309813687249342,0.227019875848384,7.59926345691382e-05,7.59926345691542e-05,7.59926345691665e-05,7.59926345603538e-05,7.59926345666596e-05,7.59926345885829e-05,0.282729097748875,7.59926345698018e-05,0.0889035460571353,7.59926345691511e-05,0.0202715899250429
"mix_0014_depth100",5.31948442029401e-05,5.31948443211415e-05,0.364713707808409,0.258654357732513,0.0433587783041902,5.31948441984081e-05,5.31948441984076e-05,5.31948442216592e-05,0.017437227736764,5.31948442100917e-05,0.19376358043722,5.31948442002581e-05,0.0133594252656724,0.0361745184107284,5.31948441872223e-05
"mix_0014_depth25",0.0019277448120734,5.31948447253593e-05,0.275280149350272,0.274508071895909,0.0881589683116556,5.3194844198408e-05,5.3194844198412e-05,0.000428210405344066,0.0162800891641922,0.00325452399343083,0.212019843455296,5.31948441176661e-05,0.0180090335400931,0.028154639985237,5.31948441977901e-05
"mix_0015_depth100",7.59926345620446e-05,7.59926345652694e-05,0.408094116097346,0.322334263979521,0.000146774429103295,0.00627312165595354,7.599263456684e-05,7.59926344624173e-05,0.00129990934390711,0.0457436572806121,0.172103433818343,0.00021974911749055,0.00241143235620426,7.59926345691533e-05,7.59926345774372e-05
"mix_0015_depth25",5.3194844206532e-05,5.31948441695401e-05,0.423285089116083,0.308774027691246,0.027405188461135,5.31948441984067e-05,5.31948441984104e-05,5.31948441952887e-05,0.00290740549271257,0.0469165780691269,0.207186884580275,5.31948442237673e-05,5.31948441984091e-05,5.31948441984077e-05,5.31948441989686e-05
"mix_0016_depth100",7.59926345216293e-05,7.59926346034313e-05,0.32366300117032,0.292002270846872,0.0368083274715543,0.00662128596036896,7.59926345604307e-05,7.59926345815485e-05,7.59926345889047e-05,0.0272844780968725,0.17759990524128,7.59926336243459e-05,0.0160552995511155,7.59926345691518e-05,7.5992634553374e-05
