donor_id,method,approach,depth_fraction,original_type,coarse_type,n_spots,dominant_matches,mean_correct_weight,mean_T_weight,mean_NK_weight
CID4067,RCTD,fine_fit_then_sum,0.25,Myeloid,Myeloid,5,5,0.9845988325742567,0.013718836236825422,3.98535406220431e-05
CID4067,RCTD,fine_fit_then_sum,0.25,NK cells,NK cells,5,5,0.8074427638332352,0.18244835586962405,0.8074427638332352
CID4067,RCTD,fine_fit_then_sum,0.25,NKT cells,T cells,5,5,0.7258415970249871,0.7258415970249871,0.2663394144235485
CID4067,RCTD,fine_fit_then_sum,0.25,PVL,PVL,5,5,0.7328835476661812,0.017747066805243315,6.133797203253393e-05
CID4067,RCTD,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.9990212145073574,0.9990212145073574,0.00014181645285557998
CID4067,RCTD,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.9619551606747191,0.9619551606747191,0.035702774224143516
CID4067,RCTD,coarse_reference_refit,1.0,B-cells,B-cells,5,5,0.9900519469575382,9.532890010758084e-05,9.906029675572495e-05
CID4067,RCTD,coarse_reference_refit,1.0,CAFs,CAFs,5,5,0.9833413493073146,0.0002564178618504455,0.0007065014774167879
CID4067,RCTD,coarse_reference_refit,1.0,Cancer Epithelial,Cancer Epithelial,5,5,0.5903620641625846,0.010934893182041838,0.0011326807768901371
CID4067,RCTD,coarse_reference_refit,1.0,Cycling T-cells,T cells,5,5,0.8626618176382227,0.8626618176382227,0.0964101900965258
CID4067,RCTD,coarse_reference_refit,1.0,Endothelial,Endothelial,5,5,0.9870784540812106,5.2248463586031744e-05,5.224846391695325e-05
CID4067,RCTD,coarse_reference_refit,1.0,Myeloid,Myeloid,5,5,0.9995572505920054,4.588840046594301e-05,4.588839902990576e-05
CID4067,RCTD,coarse_reference_refit,1.0,NK cells,NK cells,5,5,0.9262757880118636,0.06189941781876048,0.9262757880118636
CID4067,RCTD,coarse_reference_refit,1.0,NKT cells,T cells,5,1,0.3633057643398926,0.3633057643398926,0.635766427761957
CID4067,RCTD,coarse_reference_refit,1.0,PVL,PVL,5,5,0.7837068508353411,0.0005088719892556018,7.776545691094523e-05
CID4067,RCTD,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.981083304576732,0.981083304576732,0.0171519361683157
CID4067,RCTD,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.7737815026132254,0.7737815026132254,0.22309516033111493
CID4067,RCTD,coarse_reference_refit,0.25,B-cells,B-cells,5,5,0.9869120375555729,0.00010035475559331615,0.000140944249823892
CID4067,RCTD,coarse_reference_refit,0.25,CAFs,CAFs,5,5,0.9729271388619731,3.3956238609373414e-05,0.0014298111333352383
CID4067,RCTD,coarse_reference_refit,0.25,Cancer Epithelial,Cancer Epithelial,5,5,0.5469202340537113,0.012926630293592922,9.347625074724465e-05
CID4067,RCTD,coarse_reference_refit,0.25,Cycling T-cells,T cells,5,5,0.8446315200746677,0.8446315200746677,0.06910563956094382
CID4067,RCTD,coarse_reference_refit,0.25,Endothelial,Endothelial,5,5,0.9602056440658698,0.004034105534013,0.0013439279064390878
CID4067,RCTD,coarse_reference_refit,0.25,Myeloid,Myeloid,5,5,0.9942944840440724,0.0017905417861980688,5.5925392473425576e-05
CID4067,RCTD,coarse_reference_refit,0.25,NK cells,NK cells,5,5,0.8844786328092775,0.09547312689409569,0.8844786328092775
CID4067,RCTD,coarse_reference_refit,0.25,NKT cells,T cells,5,1,0.350297228067103,0.350297228067103,0.648216111872385
CID4067,RCTD,coarse_reference_refit,0.25,PVL,PVL,5,5,0.7431889784032992,8.92120728990938e-05,0.000532556102169223
CID4067,RCTD,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.9941585493349914,0.9941585493349914,0.00513318863120806
CID4067,RCTD,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.8787651744008729,0.8787651744008729,0.11640472949472003
CID4067,NNLS,fine_fit_then_sum,1.0,B-cells,B-cells,5,4,0.6481249382258677,0.17523321774140835,0.06178392297540815
CID4067,NNLS,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.9269982067962337,0.040316331256753976,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,Cancer Epithelial,Cancer Epithelial,5,0,0.309035237165106,0.02236695218417106,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,Cycling T-cells,T cells,5,5,0.8679343979153605,0.8679343979153605,0.00219461971146132
CID4067,NNLS,fine_fit_then_sum,1.0,Endothelial,Endothelial,5,5,0.5404061533929329,0.2799154565144888,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,Myeloid,Myeloid,5,5,0.9770988344097431,0.0,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,NK cells,NK cells,5,3,0.42758982518264865,0.41220235244127446,0.42758982518264865
CID4067,NNLS,fine_fit_then_sum,1.0,NKT cells,T cells,5,5,0.9092434730068193,0.9092434730068193,0.05100868462324994
CID4067,NNLS,fine_fit_then_sum,1.0,PVL,PVL,5,4,0.513564427549499,0.20124806098699027,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9546760573189859,0.9546760573189859,0.0
CID4067,NNLS,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.9653529136548539,0.9653529136548539,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,B-cells,B-cells,5,4,0.6080479177473951,0.22738453854486512,0.045811936462912324
CID4067,NNLS,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.931332050271914,0.029524300440255124,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,Cancer Epithelial,Cancer Epithelial,5,0,0.3074150647974237,0.0325286026179385,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,Cycling T-cells,T cells,5,5,0.8845286473046375,0.8845286473046375,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,Endothelial,Endothelial,5,5,0.5477000341718441,0.268620101981215,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,Myeloid,Myeloid,5,5,0.970184040446556,0.0033266774681293596,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,NK cells,NK cells,5,3,0.44746723953293444,0.41921539375997224,0.44746723953293444
CID4067,NNLS,fine_fit_then_sum,0.25,NKT cells,T cells,5,5,0.8112911260230085,0.8112911260230085,0.11284428709973386
CID4067,NNLS,fine_fit_then_sum,0.25,PVL,PVL,5,3,0.5198668829334273,0.2157568543697185,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.9510141255311204,0.9510141255311204,0.0
CID4067,NNLS,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.9423109706885009,0.9423109706885009,0.0
CID4067,NNLS,coarse_reference_refit,1.0,B-cells,B-cells,5,5,0.6824132193043445,0.05904722277214186,0.12672643287278537
CID4067,NNLS,coarse_reference_refit,1.0,CAFs,CAFs,5,5,0.9292398014966723,0.03655067133445352,0.0
CID4067,NNLS,coarse_reference_refit,1.0,Cancer Epithelial,Cancer Epithelial,5,0,0.3145097609245429,0.0,0.0
CID4067,NNLS,coarse_reference_refit,1.0,Cycling T-cells,T cells,5,5,0.5861775414286798,0.5861775414286798,0.0
CID4067,NNLS,coarse_reference_refit,1.0,Endothelial,Endothelial,5,5,0.5734427273327917,0.17311234994091693,0.0418430969312116
CID4067,NNLS,coarse_reference_refit,1.0,Myeloid,Myeloid,5,5,0.9770899437348621,0.0,0.0
CID4067,NNLS,coarse_reference_refit,1.0,NK cells,NK cells,5,4,0.6033318283894004,0.21368520864347934,0.6033318283894004
CID4067,NNLS,coarse_reference_refit,1.0,NKT cells,T cells,5,1,0.36518947696367254,0.36518947696367254,0.532153324820367
CID4067,NNLS,coarse_reference_refit,1.0,PVL,PVL,5,4,0.5348475972062401,0.10652711789062978,0.00570809084538546
CID4067,NNLS,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.9112741012276955,0.9112741012276955,0.0
CID4067,NNLS,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.903962129436031,0.903962129436031,0.0400903217268732
CID4067,NNLS,coarse_reference_refit,0.25,B-cells,B-cells,5,5,0.634513037768028,0.1344788028968818,0.09578869987122862
CID4067,NNLS,coarse_reference_refit,0.25,CAFs,CAFs,5,5,0.9345663700520861,0.023837043285703623,0.0
CID4067,NNLS,coarse_reference_refit,0.25,Cancer Epithelial,Cancer Epithelial,5,0,0.3168584974684071,0.0,0.0
CID4067,NNLS,coarse_reference_refit,0.25,Cycling T-cells,T cells,5,5,0.6091528271124214,0.6091528271124214,0.0
CID4067,NNLS,coarse_reference_refit,0.25,Endothelial,Endothelial,5,5,0.5916378921680826,0.1519406153472055,0.045093317474200575
CID4067,NNLS,coarse_reference_refit,0.25,Myeloid,Myeloid,5,5,0.9736202708619611,0.0,0.0
CID4067,NNLS,coarse_reference_refit,0.25,NK cells,NK cells,5,4,0.6075185237150141,0.2381703271573299,0.6075185237150141
CID4067,NNLS,coarse_reference_refit,0.25,NKT cells,T cells,5,0,0.2278657938276234,0.2278657938276234,0.6401442650467462
CID4067,NNLS,coarse_reference_refit,0.25,PVL,PVL,5,3,0.5389203678168112,0.11762924669364376,0.01080277222903788
CID4067,NNLS,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.8757886895850984,0.8757886895850984,0.00144081629096808
CID4067,NNLS,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.8565142137092543,0.8565142137092543,0.03934886400917892
CID4463,RCTD,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.9992870417826362,9.573600120876523e-05,2.39340004526553e-05
