donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,B-cells,55,1.2140675897810405,2.9753822753641805,0.9761046362460039,1.3087962444427004,50,1.2045947243148745,0.2
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,CAFs,55,0.6674881468503228,2.496782021754164,0.17525430797710426,2.7072861138027027,50,0.46350835015508496,0.06
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,Cancer Epithelial,55,5.451795023333933,14.607558908252878,-2.7860189029622258,45.30797659462888,50,1.4661768662044392,0.1
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,Endothelial,55,0.5613012824898892,2.1845769934228,-0.16223246176702416,3.979435593413023,50,0.21948785139757573,0.02
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,Myeloid,55,0.1074707090488594,0.38943112419759557,0.003734055304721053,0.5705515955927609,50,0.061162620394469264,0.0
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,NK cells,55,8.708887979863341,20.93196075839501,6.6084994854865675,11.552136719072257,50,8.424563105942449,0.28
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,Normal Epithelial,55,4.484121924909298,13.36073721905453,4.484121924909298,,55,4.484121924909298,0.14545454545454545
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,PVL,55,2.6564316866655515,10.160761234784662,-2.0128596150926454,25.681102159670083,50,0.3539646393650982,0.06
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,Plasmablasts,55,0.14702930214695217,0.6880256147497777,0.14702930214695217,,55,0.14702930214695206,0.01818181818181818
CID4067,RCTD,coarse_reference_refit,rna,pure,0.25,T cells,55,9.514504142703332,21.36385545459985,-7.433632732248761,23.30368820305913,35,1.6349703939285924,0.2
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,B-cells,55,0.6338958245051213,1.5536934325975242,0.4530221328239975,0.9948053042461801,50,0.5978048765310153,0.16
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,CAFs,55,0.6158251341744929,2.666440981783593,0.3129405761256707,1.6658650692685217,50,0.51082114066509,0.06
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,Cancer Epithelial,55,4.640808098546596,13.004597156266511,-2.8071543712245934,40.96379358374154,50,1.008509550027101,0.08
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,Endothelial,55,0.2842878495729277,1.3359684327222627,0.049350651049484,1.29215459187894,50,0.18350117534232638,0.02
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,Myeloid,55,0.02067556330516209,0.05718600342059995,0.01262557406889659,0.04427494079946026,50,0.01831562555573227,0.0
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,NK cells,55,9.529655192881549,21.3402709338391,8.189214974915433,7.3724211988136386,50,9.74537859228834,0.32
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,Normal Epithelial,55,4.061618471455506,12.114954602159544,4.061618471455506,,55,4.061618471455506,0.14545454545454545
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,PVL,55,2.139782045507847,8.75555058926858,-1.7928206665768587,21.62931491646588,50,0.1908287584120434,0.04
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,Plasmablasts,55,0.11551669568845589,0.3635761112114783,0.11551669568845589,,55,0.11551669568845595,0.03636363636363636
CID4067,RCTD,coarse_reference_refit,rna,pure,1.0,T cells,55,9.93600615861814,21.568854495343654,-8.594314038325995,25.47919027079819,35,1.0541866659438275,0.14285714285714285
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,B-cells,189,1.2839930942194329,2.966403474103957,-0.8439157001267642,7.447680780211691,162,0.2567118132207234,0.09259259259259259
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,CAFs,189,4.971831928782866,8.179591365728704,0.5835360543801765,7.42325372585158,63,0.06898833464543487,0.015873015873015872
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,Cancer Epithelial,189,16.86576543236765,19.45248743357483,-16.070884570250797,16.86576543236765,0,,
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,Endothelial,189,0.9797047936456498,2.834085712677124,-0.5846783906750851,6.35773338358374,162,0.08336669532263491,0.024691358024691357
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,Myeloid,189,0.9005114171769941,2.0276138236918664,0.09291323419020948,4.542196866615075,162,0.29356384227064725,0.06172839506172839
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,NK cells,189,1.999810465824895,3.380121378970063,-0.002282047467967936,7.00732379652502,162,1.1652249107082073,0.345679012345679
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,Normal Epithelial,189,34.90091160912546,36.405391914557725,34.90091160912546,,189,34.90091160912546,0.9947089947089947
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,PVL,189,7.892902867952355,8.644218299662032,-6.97149476636796,7.892902867952355,0,,
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,Plasmablasts,189,0.06204951725620247,0.12036946712726962,0.06204951725620247,,189,0.06204951725620247,0.0
CID4067,RCTD,coarse_reference_refit,cells,factorial,0.25,T cells,189,11.321974330114577,14.353806760336955,-11.16615494006349,13.889726902168809,36,0.4090258988840899,0.19444444444444445
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,B-cells,189,1.174760247870614,2.8643839861477174,-0.9056386478505422,7.281396135024047,162,0.1569876000117086,0.043209876543209874
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,CAFs,189,4.940827313251062,8.14363142435919,0.4724289301271527,7.386868720057169,63,0.048744499638848256,0.0
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,Cancer Epithelial,189,15.957016283506114,18.276021843082813,-15.016705258035255,15.957016283506114,0,,
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,Endothelial,189,0.9623521845611525,2.8994206982560193,-0.557817732872176,6.382544251431373,162,0.05898684008278259,0.018518518518518517
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,Myeloid,189,0.7124614651126157,1.8870610256713112,-0.056229343288806785,4.245591626157846,162,0.12360643827174414,0.024691358024691357
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,NK cells,189,1.8880846084771061,3.2347030035021596,-0.13967600506497502,7.097162147397284,162,1.0199050186570766,0.3333333333333333
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,Normal Epithelial,189,34.33607711912479,35.53852297750408,34.33607711912479,,189,34.33607711912479,0.9947089947089947
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,PVL,189,8.139559527505654,8.885354332417227,-7.248925272544987,8.139559527505654,0,,
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,Plasmablasts,189,0.023692573176743836,0.040135009719783316,0.023692573176743836,,189,0.023692573176743836,0.0
CID4067,RCTD,coarse_reference_refit,cells,factorial,1.0,T cells,189,10.986666648078637,13.947707658842862,-10.907206362771962,13.536138045908894,36,0.1514132073000557,0.05555555555555555
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,B-cells,55,1.2140675897810405,2.9753822753641805,0.9761046362460039,1.3087962444427004,50,1.2045947243148745,0.2
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,CAFs,55,0.6674881468503228,2.496782021754164,0.17525430797710426,2.7072861138027027,50,0.46350835015508496,0.06
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,Cancer Epithelial,55,5.451795023333933,14.607558908252878,-2.7860189029622258,45.30797659462888,50,1.4661768662044392,0.1
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,Endothelial,55,0.5613012824898892,2.1845769934228,-0.16223246176702416,3.979435593413023,50,0.21948785139757573,0.02
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,Myeloid,55,0.1074707090488594,0.38943112419759557,0.003734055304721053,0.5705515955927609,50,0.061162620394469264,0.0
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,NK cells,55,8.708887979863341,20.93196075839501,6.6084994854865675,11.552136719072257,50,8.424563105942449,0.28
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,Normal Epithelial,55,4.484121924909298,13.36073721905453,4.484121924909298,,55,4.484121924909298,0.14545454545454545
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,PVL,55,2.6564316866655515,10.160761234784662,-2.0128596150926454,25.681102159670083,50,0.3539646393650982,0.06
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,Plasmablasts,55,0.14702930214695217,0.6880256147497777,0.14702930214695217,,55,0.14702930214695206,0.01818181818181818
CID4067,RCTD,coarse_reference_refit,cells,pure,0.25,T cells,55,9.514504142703332,21.36385545459985,-7.433632732248761,23.30368820305913,35,1.6349703939285924,0.2
CID4067,RCTD,coarse_reference_refit,cells,pure,1.0,B-cells,55,0.6338958245051213,1.5536934325975242,0.4530221328239975,0.9948053042461801,50,0.5978048765310153,0.16
CID4067,RCTD,coarse_reference_refit,cells,pure,1.0,CAFs,55,0.6158251341744929,2.666440981783593,0.3129405761256707,1.6658650692685217,50,0.51082114066509,0.06
CID4067,RCTD,coarse_reference_refit,cells,pure,1.0,Cancer Epithelial,55,4.640808098546596,13.004597156266511,-2.8071543712245934,40.96379358374154,50,1.008509550027101,0.08
