donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4463,RCTD,coarse_reference_refit,rna,factorial,0.25,T cells,162,1.5813837993301214,2.4835801408717564,0.010128719753038714,1.8842835024266278,27,0.06688528384759038,0.0
CID4463,RCTD,coarse_reference_refit,rna,factorial,1.0,T cells,162,1.5174908857996419,2.4753216902435753,0.08653501035139925,1.8146237047211191,27,0.03182679119225672,0.0
CID4463,NNLS,fine_fit_then_sum,rna,factorial,0.25,T cells,162,11.51599227554872,14.724201931073857,10.665725137950346,11.944567484427408,27,9.373116231155283,0.6296296296296297
CID4463,NNLS,fine_fit_then_sum,rna,factorial,1.0,T cells,162,11.654158417613479,14.863668796459095,10.838521602491152,12.117203925011482,27,9.338930880623444,0.6296296296296297
CID4463,NNLS,coarse_reference_refit,rna,factorial,0.25,T cells,162,4.706776931317525,6.744134158018702,-4.501415562572341,5.64813231758103,27,0.0,0.0
CID4463,NNLS,coarse_reference_refit,rna,factorial,1.0,T cells,162,4.8043564421127005,6.868255851174141,-4.590129785769553,5.76522773053524,27,0.0,0.0
CID3941,RCTD,fine_fit_then_sum,rna,gradient,0.25,T cells,75,6.213276159785092,8.170194290211613,-4.994016096087811,6.213276159785092,0,,
CID3941,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,4.684200821160766,5.77055504733373,-3.629119707581291,4.684200821160766,0,,
CID3941,RCTD,coarse_reference_refit,rna,gradient,0.25,T cells,75,12.715400137519083,15.983920863179408,-12.17359621745053,12.715400137519083,0,,
CID3941,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,10.597593482328891,13.835027260999953,-10.30199800098305,10.597593482328891,0,,
CID3941,NNLS,fine_fit_then_sum,rna,gradient,0.25,T cells,75,6.734135805215077,9.9137342973063,3.7722914098506224,6.734135805215077,0,,
CID3941,NNLS,fine_fit_then_sum,rna,gradient,1.0,T cells,75,6.970286949469843,10.34471406550441,4.8715950941491615,6.970286949469843,0,,
CID3941,NNLS,coarse_reference_refit,rna,gradient,0.25,T cells,75,8.317318142883105,10.814320823225602,-1.420243016904784,8.317318142883105,0,,
CID3941,NNLS,coarse_reference_refit,rna,gradient,1.0,T cells,75,7.956933472887352,10.594947711519506,-0.04588412147037213,7.956933472887352,0,,
CID3948,RCTD,fine_fit_then_sum,rna,gradient,0.25,T cells,75,8.243458182476715,10.210365815997255,-5.301240077654104,8.243458182476715,0,,
CID3948,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,7.17778466132282,9.031359716916532,-3.4643676951438493,7.17778466132282,0,,
CID3948,RCTD,coarse_reference_refit,rna,gradient,0.25,T cells,75,15.141730013112817,20.14970450924209,-14.421723691267855,15.141730013112817,0,,
CID3948,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,14.273784655149532,19.807355756564064,-12.96147251949286,14.273784655149532,0,,
CID3948,NNLS,fine_fit_then_sum,rna,gradient,0.25,T cells,75,8.359361324824528,9.64868051561159,2.201491865124802,8.359361324824528,0,,
CID3948,NNLS,fine_fit_then_sum,rna,gradient,1.0,T cells,75,7.869788928837053,9.572683760525864,2.6089207665910954,7.869788928837053,0,,
CID3948,NNLS,coarse_reference_refit,rna,gradient,0.25,T cells,75,8.640892245208285,11.112285847320502,-4.234100163343335,8.640892245208285,0,,
CID3948,NNLS,coarse_reference_refit,rna,gradient,1.0,T cells,75,7.861298303460783,9.856367148768253,-3.0514874208290648,7.861298303460783,0,,
CID4461,RCTD,fine_fit_then_sum,rna,gradient,0.25,T cells,75,18.271412868505752,20.65645599183612,-18.246373370573238,18.271412868505752,0,,
CID4461,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,15.097070604084184,16.98704561998973,-15.09566339330855,15.097070604084184,0,,
CID4461,RCTD,coarse_reference_refit,rna,gradient,0.25,T cells,75,26.327587485941866,28.82783603649112,-26.327587485941866,26.327587485941866,0,,
CID4461,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,23.768314858322878,25.348040911244112,-23.768314858322878,23.768314858322878,0,,
CID4461,NNLS,fine_fit_then_sum,rna,gradient,0.25,T cells,75,13.577181696453362,16.248927355581337,5.0798674447454895,13.577181696453362,0,,
CID4461,NNLS,fine_fit_then_sum,rna,gradient,1.0,T cells,75,13.281767941305203,15.518751775779739,6.3621097878076185,13.281767941305203,0,,
CID4461,NNLS,coarse_reference_refit,rna,gradient,0.25,T cells,75,39.59936920149215,47.763863980505164,-37.362115533649686,39.59936920149215,0,,
CID4461,NNLS,coarse_reference_refit,rna,gradient,1.0,T cells,75,34.32572326957259,42.09660949098454,-31.932459605211708,34.32572326957259,0,,
