variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction,report_donor,donor_id,n_present,n_absent
epithelial_split,RCTD,rna,factorial,1.0,Cancer Epithelial,162,2.632320288916675,3.357164947728213,-1.101358310744295,2.632320288916675,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,1.0,Cycling T-cells,162,1.3898104449214252,3.624278819708728,-1.3693784161829228,8.277566583313044,0.0122592172431014,0.0,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,Endothelial,162,0.2774501719814895,0.8488674919398602,-0.2622873074747139,1.632165197985345,0.0065071667807183,0.0,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,Myeloid,162,0.5698896237288414,2.150724257498626,-0.4449895575299335,3.3868750328091943,0.006492541912771,0.0,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,NK cells,162,0.3566880964203337,0.934285083517989,0.0708902372573762,0.9978341893532782,0.2284588778337448,0.0444444444444444,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,NKT cells,162,0.4519223047262767,0.9714496259523246,0.339755447590376,0.6615719845784611,0.4099923687558398,0.1185185185185185,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,Normal Epithelial,162,2.9063952839214338,3.9532376072789472,2.9063952839214338,,2.9063952839214338,0.7222222222222222,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,1.0,PVL,162,1.193469000818336,1.6007108087285755,-0.5510417198375452,1.193469000818336,,,CID4463,CID4463,162.0,0.0
epithelial_split,RCTD,rna,factorial,1.0,Plasmablasts,162,0.0286687236545389,0.0537320507757738,0.0286687236545389,,0.0286687236545388,0.0,CID4463,CID4463,0.0,162.0
epithelial_split,RCTD,rna,factorial,1.0,T cells CD4+,162,1.4378435770402482,2.7898101544889604,1.3515613874591963,1.747894037181236,1.3758334850120504,0.3185185185185185,CID4463,CID4463,27.0,135.0
epithelial_split,RCTD,rna,factorial,1.0,T cells CD8+,162,1.0785777964575909,1.8396052041735067,-0.565809317022043,1.5802304191350065,0.0752725511027602,0.0185185185185185,CID4463,CID4463,108.0,54.0
epithelial_split,RCTD,rna,factorial,1.0,Epithelial total,162,2.1713812523080622,2.936081249144661,1.8050369731771387,2.1713812523080622,,,CID4463,CID4463,162.0,0.0
balanced_split,RCTD,rna,factorial,1.0,B-cells,162,0.2947317722177803,0.7954508387092118,0.2947317722177803,,0.2947317722177803,0.0802469135802469,CID4463,CID4463,0.0,162.0
balanced_split,RCTD,rna,factorial,1.0,CAFs,162,1.662698399998554,2.8897170423021143,1.274507896533884,2.4911437276420685,0.0058077447115259,0.0,CID4463,CID4463,108.0,54.0
balanced_split,RCTD,rna,factorial,1.0,Cancer Epithelial,162,4.368904887592034,5.3449082987901155,-4.020823335520942,4.368904887592034,,,CID4463,CID4463,162.0,0.0
balanced_split,RCTD,rna,factorial,1.0,Cycling T-cells,162,1.4136455146691178,3.6604655548648704,-1.3768231999025893,8.371406143715122,0.022093388859917,0.0074074074074074,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,Endothelial,162,0.227449416088582,0.7059202598998109,-0.2054103224831009,1.3322073606342597,0.0064978271794464,0.0,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,Myeloid,162,0.5738408136978793,2.1469744937697297,-0.4336182635378963,3.4066648253606093,0.0072760113653335,0.0,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,NK cells,162,0.3867989950365224,0.9644672954631504,0.1376338423847677,0.945563161808818,0.2750461616820633,0.074074074074074,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,NKT cells,162,0.4419559449922796,0.9137477484327152,0.3159997117715015,0.6263241110796244,0.4050823117748107,0.1259259259259259,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,Normal Epithelial,162,4.418341637412518,5.519331161422013,4.418341637412518,,4.418341637412518,0.8271604938271605,CID4463,CID4463,0.0,162.0
balanced_split,RCTD,rna,factorial,1.0,PVL,162,1.5543605538410532,1.925343677185436,-1.262866145799272,1.5543605538410532,,,CID4463,CID4463,162.0,0.0
balanced_split,RCTD,rna,factorial,1.0,Plasmablasts,162,0.0156413451360129,0.0304574287417825,0.0156413451360129,,0.0156413451360129,0.0,CID4463,CID4463,0.0,162.0
balanced_split,RCTD,rna,factorial,1.0,T cells CD4+,162,1.678670331478876,3.1276931464136655,1.6424076345302423,2.0055265270774725,1.613299092359157,0.362962962962963,CID4463,CID4463,27.0,135.0
balanced_split,RCTD,rna,factorial,1.0,T cells CD8+,162,1.191092006281383,1.9905740250560795,-0.7997225727428989,1.7560711553406363,0.0611337081628767,0.0185185185185185,CID4463,CID4463,108.0,54.0
balanced_split,RCTD,rna,factorial,1.0,Epithelial total,162,1.8426732133089028,2.5381244987820963,0.3975183018915768,1.8426732133089028,,,CID4463,CID4463,162.0,0.0
baseline,RCTD,rna,factorial,0.25,B-cells,162,0.2630357836362837,0.7607755142415382,0.2630357836362837,,0.2630357836362837,0.0802469135802469,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,0.25,CAFs,162,1.399982671440962,2.337973076652122,-0.9648452147440488,2.0959794390337,0.0079891362554868,0.0,CID4463,CID4463,108.0,54.0
baseline,RCTD,rna,factorial,0.25,Cancer Epithelial,162,12.541824342560435,13.832571908266653,-12.51804452036196,12.541824342560435,,,CID4463,CID4463,162.0,0.0
baseline,RCTD,rna,factorial,0.25,Cycling T-cells,162,1.3812248792951916,3.1768185294419697,-0.7293546578579981,6.349109299227762,0.3876479953086775,0.0962962962962963,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,Endothelial,162,0.3382023491080829,1.0176958325168872,-0.268596895007711,1.8596097471823771,0.0339208694932239,0.0074074074074074,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,Myeloid,162,0.5689722538214834,2.1430095225251407,-0.421293743635279,3.3745858217837355,0.007849540229033,0.0,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,NK cells,162,0.4402129517589441,0.9643714253746278,0.17129261353029,1.1028906940459224,0.3076774033015484,0.0962962962962963,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,NKT cells,162,0.4766860690347345,1.0288131538547376,0.311567797372291,0.698540763120807,0.43231513021752,0.1185185185185185,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,Normal Epithelial,162,14.017706287536145,15.219749721999063,14.017706287536145,,14.01770628753614,0.9876543209876544,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,0.25,PVL,162,1.4771627923506343,2.0050390834916305,-0.4239371715924925,1.4771627923506343,,,CID4463,CID4463,162.0,0.0
baseline,RCTD,rna,factorial,0.25,Plasmablasts,162,0.0641506827137234,0.1261680503094855,0.0641506827137234,,0.0641506827137234,0.0,CID4463,CID4463,0.0,162.0
baseline,RCTD,rna,factorial,0.25,T cells CD4+,162,1.563634254486982,2.9386772595669086,1.3535830378238494,1.9437377234318052,1.4876135606980176,0.3333333333333333,CID4463,CID4463,27.0,135.0
baseline,RCTD,rna,factorial,0.25,T cells CD8+,162,1.2950003468555191,2.1345546267498605,-0.8552639994130916,1.908565282173187,0.0678704762201821,0.0185185185185185,CID4463,CID4463,108.0,54.0
baseline,RCTD,rna,factorial,0.25,Epithelial total,162,2.3940697981177927,3.116397525902758,1.4996617671741823,2.3940697981177927,,,CID4463,CID4463,162.0,0.0
donor_balanced,RCTD,rna,factorial,0.25,B-cells,162,0.2966780452440797,0.8213051863394465,0.2966780452440797,,0.2966780452440797,0.0987654320987654,CID4463,CID4463,0.0,162.0
donor_balanced,RCTD,rna,factorial,0.25,CAFs,162,1.4284026742262668,2.451361837239849,0.8637580835829759,2.138557020221554,0.0080939822356932,0.0,CID4463,CID4463,108.0,54.0
donor_balanced,RCTD,rna,factorial,0.25,Cancer Epithelial,162,4.956989402775534,5.978916160337891,-4.338840507539394,4.956989402775534,,,CID4463,CID4463,162.0,0.0
